TOA	SR
median_red_dry	red_median_dry
median_red	red_median
median_swir2	swir2_median
median_hallcover	hallcover_median
stdDev_gv	gv_stdDev
median_shade	shade_median
min_red	red_min
median_swir1	swir1_median
median_ndfi	ndfi_median
amp_gv	gv_amp
median_nir_wet	nir_median_wet
median_ndwi	ndwi_median
median_swir1_wet	swir1_median_wet
min_green	green_min
median_gcvi_wet	gcvi_median_wet
median_ndvi_wet	ndvi_median_wet
median_evi2_wet	evi2_median_wet
median_ndvi_dry	ndvi_median_dry
median_nir	nir_median
median_green	green_median
amp_evi2	evi2_amp
median_swir1_dry	swir1_median_dry
median_ndvi	ndvi_median
median_savi_dry	savi_median_dry
median_nir_dry	nir_median_dry
median_savi_wet	savi_median_wet
median_wefi_wet	wefi_median_wet
median_evi2_dry	evi2_median_dry
median_gvs_wet	gvs_median_wet
median_ndfi_wet	ndfi_median_wet
median_gcvi	gcvi_median
median_ndfi_dry	ndfi_median_dry
median_pri_dry	pri_median_dry
median_gvs	gvs_median
median_red_wet	red_median_wet
amp_ndfi	ndfi_amp
median_swir2_dry	swir2_median_dry
slope	slope
median_green_dry	green_median_dry
stdDev_evi2	evi2_stdDev
median_pri	pri_median
amp_wefi	wefi_amp
stdDev_nir	nir_stdDev
amp_ndvi	ndvi_amp
stdDev_ndvi	ndvi_stdDev
stdDev_wefi	wefi_stdDev
stdDev_savi	savi_stdDev
