"ntree" "mtry" "region" "year" "accuracy"
"100" "5" "1" "1985" "0.9349"
"200" "5" "1" "1985" "0.9379"
"400" "5" "1" "1985" "0.9389"
"800" "5" "1" "1985" "0.9341"
"100" "10" "1" "1985" "0.9362"
"200" "10" "1" "1985" "0.9329"
"400" "10" "1" "1985" "0.9511"
"800" "10" "1" "1985" "0.9422"
"100" "20" "1" "1985" "0.9507"
"200" "20" "1" "1985" "0.9449"
"400" "20" "1" "1985" "0.9457"
"800" "20" "1" "1985" "0.9375"
"100" "40" "1" "1985" "0.9523"
"200" "40" "1" "1985" "0.935"
"400" "40" "1" "1985" "0.9492"
"800" "40" "1" "1985" "0.9437"
"100" "5" "1" "1986" "0.9067"
"200" "5" "1" "1986" "0.9038"
"400" "5" "1" "1986" "0.8905"
"800" "5" "1" "1986" "0.902"
"100" "10" "1" "1986" "0.9129"
"200" "10" "1" "1986" "0.9162"
"400" "10" "1" "1986" "0.9089"
"800" "10" "1" "1986" "0.9114"
"100" "20" "1" "1986" "0.911"
"200" "20" "1" "1986" "0.9206"
"400" "20" "1" "1986" "0.9139"
"800" "20" "1" "1986" "0.9086"
"100" "40" "1" "1986" "0.9236"
"200" "40" "1" "1986" "0.9186"
"400" "40" "1" "1986" "0.9246"
"800" "40" "1" "1986" "0.9185"
"100" "5" "1" "1987" "0.9161"
"200" "5" "1" "1987" "0.922"
"400" "5" "1" "1987" "0.9245"
"800" "5" "1" "1987" "0.9192"
"100" "10" "1" "1987" "0.9285"
"200" "10" "1" "1987" "0.9202"
"400" "10" "1" "1987" "0.9196"
"800" "10" "1" "1987" "0.9243"
"100" "20" "1" "1987" "0.9173"
"200" "20" "1" "1987" "0.9275"
"400" "20" "1" "1987" "0.933"
"800" "20" "1" "1987" "0.926"
"100" "40" "1" "1987" "0.9275"
"200" "40" "1" "1987" "0.933"
"400" "40" "1" "1987" "0.9223"
"800" "40" "1" "1987" "0.9206"
"100" "5" "1" "1988" "0.9145"
"200" "5" "1" "1988" "0.92"
"400" "5" "1" "1988" "0.9188"
"800" "5" "1" "1988" "0.9109"
"100" "10" "1" "1988" "0.9108"
"200" "10" "1" "1988" "0.9258"
"400" "10" "1" "1988" "0.9186"
"800" "10" "1" "1988" "0.9261"
"100" "20" "1" "1988" "0.9222"
"200" "20" "1" "1988" "0.9217"
"400" "20" "1" "1988" "0.9237"
"800" "20" "1" "1988" "0.9204"
"100" "40" "1" "1988" "0.919"
"200" "40" "1" "1988" "0.9219"
"400" "40" "1" "1988" "0.9163"
"800" "40" "1" "1988" "0.9186"
"100" "5" "1" "1989" "0.9252"
