"","value","variable","region","year","file"
"Accuracy",0.665948275862069,"Accuracy",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Kappa",0.404181992908506,"Kappa",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"AccuracyLower",0.621000259521267,"AccuracyLower",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"AccuracyUpper",0.708764699165168,"AccuracyUpper",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"AccuracyNull",0.655172413793103,"AccuracyNull",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"AccuracyPValue",0.331648996695685,"AccuracyPValue",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"McnemarPValue",NA,"McnemarPValue",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 3",0.783881578947368,"Class: 3",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 4",0.686492542707756,"Class: 4",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 12",0.602915717539863,"Class: 12",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 21",0.682557049077837,"Class: 21",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 25",0.5,"Class: 25",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 33",0.993464052287582,"Class: 33",1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Accuracy1",0.653932584269663,"Accuracy",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Kappa1",0.398527256290757,"Kappa",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"AccuracyLower1",0.607699213890631,"AccuracyLower",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"AccuracyUpper1",0.698103755006299,"AccuracyUpper",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"AccuracyNull1",0.631460674157303,"AccuracyNull",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"AccuracyPValue1",0.175417335159027,"AccuracyPValue",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"McnemarPValue1",NA,"McnemarPValue",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 31",0.756542400833261,"Class: 3",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 41",0.651697834645669,"Class: 4",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 121",0.567948293006298,"Class: 12",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 211",0.716049993404564,"Class: 21",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 251",0.5,"Class: 25",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Class: 331",0.996621621621622,"Class: 33",2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"Accuracy2",0.66969696969697,"Accuracy",3,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
