"","value","variable","region","year","file"
"Accuracy",0.657327586206897,"Accuracy",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"Kappa",0.391683638552429,"Kappa",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyLower",0.61216864404654,"AccuracyLower",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyUpper",0.700466058789965,"AccuracyUpper",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyNull",0.648706896551724,"AccuracyNull",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyPValue",0.368419752935229,"AccuracyPValue",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"McnemarPValue",NA,"McnemarPValue",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 3",0.774830320200558,"Class: 3",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 4",0.678122902885629,"Class: 4",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 12",0.598261327713382,"Class: 12",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 21",0.682557049077837,"Class: 21",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 25",0.5,"Class: 25",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 33",0.993464052287582,"Class: 33",1,1985,"CERRADO_col7_gapfill_incidence_v1"
"Accuracy1",0.638202247191011,"Accuracy",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"Kappa1",0.385680600214362,"Kappa",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyLower1",0.59163060187495,"AccuracyLower",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyUpper1",0.682923013142637,"AccuracyUpper",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyNull1",0.595505617977528,"AccuracyNull",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyPValue1",0.0363671367375027,"AccuracyPValue",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"McnemarPValue1",NA,"McnemarPValue",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 31",0.747798742138365,"Class: 3",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 41",0.653054289597825,"Class: 4",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 121",0.559003496503496,"Class: 12",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 211",0.685530085959885,"Class: 21",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 251",0.5,"Class: 25",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"Class: 331",0.996621621621622,"Class: 33",2,1985,"CERRADO_col7_gapfill_incidence_v1"
"Accuracy2",0.645454545454546,"Accuracy",3,1985,"CERRADO_col7_gapfill_incidence_v1"
"Kappa2",0.343713348404753,"Kappa",3,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyLower2",0.607614065809147,"AccuracyLower",3,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyUpper2",0.681987439782182,"AccuracyUpper",3,1985,"CERRADO_col7_gapfill_incidence_v1"
"AccuracyNull2",0.61969696969697,"AccuracyNull",3,1985,"CERRADO_col7_gapfill_incidence_v1"
