"","value","variable","region","year","file"
"Accuracy",0.668103448275862,"Accuracy",1,1985,"CERRADO_col7_gapfill_v1"
"Kappa",0.412334591629452,"Kappa",1,1985,"CERRADO_col7_gapfill_v1"
"AccuracyLower",0.623210648444746,"AccuracyLower",1,1985,"CERRADO_col7_gapfill_v1"
"AccuracyUpper",0.710836862755154,"AccuracyUpper",1,1985,"CERRADO_col7_gapfill_v1"
"AccuracyNull",0.648706896551724,"AccuracyNull",1,1985,"CERRADO_col7_gapfill_v1"
"AccuracyPValue",0.204672936510877,"AccuracyPValue",1,1985,"CERRADO_col7_gapfill_v1"
"McnemarPValue",NA,"McnemarPValue",1,1985,"CERRADO_col7_gapfill_v1"
"Class: 3",0.779558934431241,"Class: 3",1,1985,"CERRADO_col7_gapfill_v1"
"Class: 4",0.694961240310078,"Class: 4",1,1985,"CERRADO_col7_gapfill_v1"
"Class: 12",0.607954545454545,"Class: 12",1,1985,"CERRADO_col7_gapfill_v1"
"Class: 21",0.782894736842105,"Class: 21",1,1985,"CERRADO_col7_gapfill_v1"
"Class: 25",0.5,"Class: 25",1,1985,"CERRADO_col7_gapfill_v1"
"Class: 33",0.993464052287582,"Class: 33",1,1985,"CERRADO_col7_gapfill_v1"
"Accuracy1",0.649438202247191,"Accuracy",2,1985,"CERRADO_col7_gapfill_v1"
"Kappa1",0.400342069346786,"Kappa",2,1985,"CERRADO_col7_gapfill_v1"
"AccuracyLower1",0.603102849703252,"AccuracyLower",2,1985,"CERRADO_col7_gapfill_v1"
"AccuracyUpper1",0.693771754865045,"AccuracyUpper",2,1985,"CERRADO_col7_gapfill_v1"
"AccuracyNull1",0.608988764044944,"AccuracyNull",2,1985,"CERRADO_col7_gapfill_v1"
"AccuracyPValue1",0.0438672245244898,"AccuracyPValue",2,1985,"CERRADO_col7_gapfill_v1"
"McnemarPValue1",NA,"McnemarPValue",2,1985,"CERRADO_col7_gapfill_v1"
"Class: 31",0.758355600797387,"Class: 3",2,1985,"CERRADO_col7_gapfill_v1"
"Class: 41",0.642190872648782,"Class: 4",2,1985,"CERRADO_col7_gapfill_v1"
"Class: 121",0.552042674993495,"Class: 12",2,1985,"CERRADO_col7_gapfill_v1"
"Class: 211",0.71639567273434,"Class: 21",2,1985,"CERRADO_col7_gapfill_v1"
"Class: 331",0.996621621621622,"Class: 33",2,1985,"CERRADO_col7_gapfill_v1"
"Accuracy2",0.640909090909091,"Accuracy",3,1985,"CERRADO_col7_gapfill_v1"
"Kappa2",0.344467028476835,"Kappa",3,1985,"CERRADO_col7_gapfill_v1"
"AccuracyLower2",0.602985844224636,"AccuracyLower",3,1985,"CERRADO_col7_gapfill_v1"
"AccuracyUpper2",0.677565707987659,"AccuracyUpper",3,1985,"CERRADO_col7_gapfill_v1"
"AccuracyNull2",0.606060606060606,"AccuracyNull",3,1985,"CERRADO_col7_gapfill_v1"
"AccuracyPValue2",0.0359884345377922,"AccuracyPValue",3,1985,"CERRADO_col7_gapfill_v1"
"McnemarPValue2",NA,"McnemarPValue",3,1985,"CERRADO_col7_gapfill_v1"
"Class: 32",0.665215769182937,"Class: 3",3,1985,"CERRADO_col7_gapfill_v1"
"Class: 42",0.668173076923077,"Class: 4",3,1985,"CERRADO_col7_gapfill_v1"
"Class: 122",0.638532160227335,"Class: 12",3,1985,"CERRADO_col7_gapfill_v1"
"Class: 212",0.781245192061131,"Class: 21",3,1985,"CERRADO_col7_gapfill_v1"
"Class: 251",0.5,"Class: 25",3,1985,"CERRADO_col7_gapfill_v1"
"Class: 332",0.994672754946728,"Class: 33",3,1985,"CERRADO_col7_gapfill_v1"
"Accuracy3",0.671834625322997,"Accuracy",4,1985,"CERRADO_col7_gapfill_v1"
"Kappa3",0.467790663678004,"Kappa",4,1985,"CERRADO_col7_gapfill_v1"
"AccuracyLower3",0.622580284591457,"AccuracyLower",4,1985,"CERRADO_col7_gapfill_v1"
"AccuracyUpper3",0.718436010861957,"AccuracyUpper",4,1985,"CERRADO_col7_gapfill_v1"
"AccuracyNull3",0.470284237726098,"AccuracyNull",4,1985,"CERRADO_col7_gapfill_v1"
"AccuracyPValue3",1.030468754117e-15,"AccuracyPValue",4,1985,"CERRADO_col7_gapfill_v1"
"McnemarPValue3",NA,"McnemarPValue",4,1985,"CERRADO_col7_gapfill_v1"
"Class: 34",0.786464754757438,"Class: 3",4,1985,"CERRADO_col7_gapfill_v1"
"Class: 43",0.737595419847328,"Class: 4",4,1985,"CERRADO_col7_gapfill_v1"
"Class: 123",0.587037037037037,"Class: 12",4,1985,"CERRADO_col7_gapfill_v1"
"Class: 213",0.631289111389236,"Class: 21",4,1985,"CERRADO_col7_gapfill_v1"
"Accuracy4",0.712700369913687,"Accuracy",5,1985,"CERRADO_col7_gapfill_v1"
"Kappa4",0.333042732448354,"Kappa",5,1985,"CERRADO_col7_gapfill_v1"
"AccuracyLower4",0.680206695875194,"AccuracyLower",5,1985,"CERRADO_col7_gapfill_v1"
"AccuracyUpper4",0.743639208401203,"AccuracyUpper",5,1985,"CERRADO_col7_gapfill_v1"
"AccuracyNull4",0.744759556103576,"AccuracyNull",5,1985,"CERRADO_col7_gapfill_v1"
"AccuracyPValue4",0.982680493880956,"AccuracyPValue",5,1985,"CERRADO_col7_gapfill_v1"
"McnemarPValue4",NA,"McnemarPValue",5,1985,"CERRADO_col7_gapfill_v1"
"Class: 35",0.768376325738566,"Class: 3",5,1985,"CERRADO_col7_gapfill_v1"
"Class: 44",0.672293406276994,"Class: 4",5,1985,"CERRADO_col7_gapfill_v1"
"Class: 124",0.5515560875513,"Class: 12",5,1985,"CERRADO_col7_gapfill_v1"
"Class: 214",0.659473426915287,"Class: 21",5,1985,"CERRADO_col7_gapfill_v1"
"Class: 252",0.5,"Class: 25",5,1985,"CERRADO_col7_gapfill_v1"
"Class: 333",0.999379652605459,"Class: 33",5,1985,"CERRADO_col7_gapfill_v1"
"Accuracy5",0.662613981762918,"Accuracy",6,1985,"CERRADO_col7_gapfill_v1"
"Kappa5",0.506971375340468,"Kappa",6,1985,"CERRADO_col7_gapfill_v1"
"AccuracyLower5",0.625059464005114,"AccuracyLower",6,1985,"CERRADO_col7_gapfill_v1"
"AccuracyUpper5",0.698701714576346,"AccuracyUpper",6,1985,"CERRADO_col7_gapfill_v1"
"AccuracyNull5",0.474164133738602,"AccuracyNull",6,1985,"CERRADO_col7_gapfill_v1"
"AccuracyPValue5",1.58768151018855e-22,"AccuracyPValue",6,1985,"CERRADO_col7_gapfill_v1"
"McnemarPValue5",NA,"McnemarPValue",6,1985,"CERRADO_col7_gapfill_v1"
"Class: 36",0.859330293276109,"Class: 3",6,1985,"CERRADO_col7_gapfill_v1"
"Class: 45",0.725980065214169,"Class: 4",6,1985,"CERRADO_col7_gapfill_v1"
"Class: 125",0.524654545454545,"Class: 12",6,1985,"CERRADO_col7_gapfill_v1"
"Class: 215",0.781851851851852,"Class: 21",6,1985,"CERRADO_col7_gapfill_v1"
"Class: 253",0.5,"Class: 25",6,1985,"CERRADO_col7_gapfill_v1"
"Class: 334",1,"Class: 33",6,1985,"CERRADO_col7_gapfill_v1"
"Accuracy6",0.766075388026608,"Accuracy",7,1985,"CERRADO_col7_gapfill_v1"
"Kappa6",0.266367028493894,"Kappa",7,1985,"CERRADO_col7_gapfill_v1"
"AccuracyLower6",0.737051171762624,"AccuracyLower",7,1985,"CERRADO_col7_gapfill_v1"
"AccuracyUpper6",0.793349918512179,"AccuracyUpper",7,1985,"CERRADO_col7_gapfill_v1"
"AccuracyNull6",0.796008869179601,"AccuracyNull",7,1985,"CERRADO_col7_gapfill_v1"
"AccuracyPValue6",0.987481296393932,"AccuracyPValue",7,1985,"CERRADO_col7_gapfill_v1"
"McnemarPValue6",NA,"McnemarPValue",7,1985,"CERRADO_col7_gapfill_v1"
"Class: 37",0.730030906593407,"Class: 3",7,1985,"CERRADO_col7_gapfill_v1"
"Class: 46",0.633250575269468,"Class: 4",7,1985,"CERRADO_col7_gapfill_v1"
"Class: 126",0.520120002608752,"Class: 12",7,1985,"CERRADO_col7_gapfill_v1"
