"","value","variable","region","year","file"
"Accuracy",0.709051724137931,"Accuracy",1,1985,"mapbiomas_collection60_integration_v1"
"Kappa",0.483321785608235,"Kappa",1,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower",0.665404847156059,"AccuracyLower",1,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper",0.750010129231246,"AccuracyUpper",1,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull",0.65301724137931,"AccuracyNull",1,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue",0.00593157235233275,"AccuracyPValue",1,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue",NA,"McnemarPValue",1,1985,"mapbiomas_collection60_integration_v1"
"Class: 3",0.81412582252014,"Class: 3",1,1985,"mapbiomas_collection60_integration_v1"
"Class: 4",0.720484715625381,"Class: 4",1,1985,"mapbiomas_collection60_integration_v1"
"Class: 12",0.700741696227024,"Class: 12",1,1985,"mapbiomas_collection60_integration_v1"
"Class: 21",0.861416361416361,"Class: 21",1,1985,"mapbiomas_collection60_integration_v1"
"Class: 25",0.5,"Class: 25",1,1985,"mapbiomas_collection60_integration_v1"
"Class: 33",0.884493284493284,"Class: 33",1,1985,"mapbiomas_collection60_integration_v1"
"Accuracy1",0.692134831460674,"Accuracy",2,1985,"mapbiomas_collection60_integration_v1"
"Kappa1",0.46549592754627,"Kappa",2,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower1",0.646947176024304,"AccuracyLower",2,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper1",0.734746019572187,"AccuracyUpper",2,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull1",0.624719101123596,"AccuracyNull",2,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue1",0.00173139216747129,"AccuracyPValue",2,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue1",NA,"McnemarPValue",2,1985,"mapbiomas_collection60_integration_v1"
"Class: 31",0.786692801447465,"Class: 3",2,1985,"mapbiomas_collection60_integration_v1"
"Class: 41",0.639869281045752,"Class: 4",2,1985,"mapbiomas_collection60_integration_v1"
"Class: 121",0.639432485322896,"Class: 12",2,1985,"mapbiomas_collection60_integration_v1"
"Class: 211",0.791333333333333,"Class: 21",2,1985,"mapbiomas_collection60_integration_v1"
"Class: 251",0.5,"Class: 25",2,1985,"mapbiomas_collection60_integration_v1"
"Class: 331",1,"Class: 33",2,1985,"mapbiomas_collection60_integration_v1"
"Accuracy2",0.653030303030303,"Accuracy",3,1985,"mapbiomas_collection60_integration_v1"
"Kappa2",0.355691308184519,"Kappa",3,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower2",0.615335739792257,"AccuracyLower",3,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper2",0.689348998765735,"AccuracyUpper",3,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull2",0.621212121212121,"AccuracyNull",3,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue2",0.0493700377394892,"AccuracyPValue",3,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue2",NA,"McnemarPValue",3,1985,"mapbiomas_collection60_integration_v1"
"Class: 32",0.683870165402313,"Class: 3",3,1985,"mapbiomas_collection60_integration_v1"
"Class: 42",0.659365853658537,"Class: 4",3,1985,"mapbiomas_collection60_integration_v1"
"Class: 122",0.664576802507837,"Class: 12",3,1985,"mapbiomas_collection60_integration_v1"
"Class: 212",0.757142857142857,"Class: 21",3,1985,"mapbiomas_collection60_integration_v1"
"Class: 252",0.5,"Class: 25",3,1985,"mapbiomas_collection60_integration_v1"
"Class: 332",0.996941896024465,"Class: 33",3,1985,"mapbiomas_collection60_integration_v1"
"Accuracy3",0.674418604651163,"Accuracy",4,1985,"mapbiomas_collection60_integration_v1"
"Kappa3",0.47144901144641,"Kappa",4,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower3",0.625238607484311,"AccuracyLower",4,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper3",0.720905565805934,"AccuracyUpper",4,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull3",0.457364341085271,"AccuracyNull",4,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue3",6.16834325351429e-18,"AccuracyPValue",4,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue3",NA,"McnemarPValue",4,1985,"mapbiomas_collection60_integration_v1"
"Class: 34",0.800524616626312,"Class: 3",4,1985,"mapbiomas_collection60_integration_v1"
"Class: 43",0.701467857971687,"Class: 4",4,1985,"mapbiomas_collection60_integration_v1"
"Class: 123",0.565746753246753,"Class: 12",4,1985,"mapbiomas_collection60_integration_v1"
"Class: 213",0.723290598290598,"Class: 21",4,1985,"mapbiomas_collection60_integration_v1"
"Accuracy4",0.688423645320197,"Accuracy",5,1985,"mapbiomas_collection60_integration_v1"
"Kappa4",0.313037953519479,"Kappa",5,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower4",0.65531068276198,"AccuracyLower",5,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper4",0.720161737707071,"AccuracyUpper",5,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull4",0.719211822660099,"AccuracyNull",5,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue4",0.975896215710121,"AccuracyPValue",5,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue4",NA,"McnemarPValue",5,1985,"mapbiomas_collection60_integration_v1"
"Class: 35",0.839625506072875,"Class: 3",5,1985,"mapbiomas_collection60_integration_v1"
"Class: 44",0.647425498678202,"Class: 4",5,1985,"mapbiomas_collection60_integration_v1"
"Class: 124",0.549175550100324,"Class: 12",5,1985,"mapbiomas_collection60_integration_v1"
"Class: 214",0.730537035194215,"Class: 21",5,1985,"mapbiomas_collection60_integration_v1"
"Class: 333",1,"Class: 33",5,1985,"mapbiomas_collection60_integration_v1"
"Accuracy5",0.673252279635258,"Accuracy",6,1985,"mapbiomas_collection60_integration_v1"
"Kappa5",0.525185602856874,"Kappa",6,1985,"mapbiomas_collection60_integration_v1"
"AccuracyLower5",0.635938342334409,"AccuracyLower",6,1985,"mapbiomas_collection60_integration_v1"
"AccuracyUpper5",0.709003139953922,"AccuracyUpper",6,1985,"mapbiomas_collection60_integration_v1"
"AccuracyNull5",0.463525835866261,"AccuracyNull",6,1985,"mapbiomas_collection60_integration_v1"
"AccuracyPValue5",1.73592216508986e-27,"AccuracyPValue",6,1985,"mapbiomas_collection60_integration_v1"
"McnemarPValue5",NA,"McnemarPValue",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 36",0.862057764515454,"Class: 3",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 45",0.728207866994845,"Class: 4",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 125",0.553986710963455,"Class: 12",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 215",0.827327995255042,"Class: 21",6,1985,"mapbiomas_collection60_integration_v1"
"Class: 334",1,"Class: 33",6,1985,"mapbiomas_collection60_integration_v1"
"Accuracy6",0.747228381374723,"Accuracy",7,1985,"mapbiomas_collection60_integration_v1"
"Kappa6",0.308030847498688,"Kappa",7,1985,"mapbiomas_collection60_integration_v1"
