"","Prediction","Reference","Freq","region","year","file"
"1","3","3",222,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"2","4","3",71,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"3","12","3",1,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"4","21","3",9,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"5","25","3",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"6","33","3",1,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"7","3","4",18,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"8","4","4",73,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"9","12","4",14,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"10","21","4",16,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"11","25","4",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"12","33","4",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"13","3","12",4,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"14","4","12",7,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"15","12","12",6,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"16","21","12",4,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"17","25","12",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"18","33","12",4,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"19","3","21",3,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"20","4","21",1,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"21","12","21",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"22","21","21",3,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"23","25","21",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"24","33","21",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"25","3","25",1,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"26","4","25",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"27","12","25",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"28","21","25",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"29","25","25",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"30","33","25",1,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"31","3","33",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"32","4","33",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"33","12","33",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"34","21","33",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"35","25","33",0,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"36","33","33",5,1,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"37","3","3",211,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"38","4","3",51,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"39","12","3",1,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"40","21","3",18,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"41","25","3",0,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"42","33","3",0,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
"43","3","4",13,2,1985,"CERRADO_col7_gapfill_incidence_temporal_v1"
