"","Prediction","Reference","Freq","region","year","file"
"1","3","3",220,1,1985,"CERRADO_col7_gapfill_v1"
"2","4","3",70,1,1985,"CERRADO_col7_gapfill_v1"
"3","12","3",2,1,1985,"CERRADO_col7_gapfill_v1"
"4","21","3",8,1,1985,"CERRADO_col7_gapfill_v1"
"5","25","3",0,1,1985,"CERRADO_col7_gapfill_v1"
"6","33","3",1,1,1985,"CERRADO_col7_gapfill_v1"
"7","3","4",20,1,1985,"CERRADO_col7_gapfill_v1"
"8","4","4",74,1,1985,"CERRADO_col7_gapfill_v1"
"9","12","4",13,1,1985,"CERRADO_col7_gapfill_v1"
"10","21","4",13,1,1985,"CERRADO_col7_gapfill_v1"
"11","25","4",0,1,1985,"CERRADO_col7_gapfill_v1"
"12","33","4",0,1,1985,"CERRADO_col7_gapfill_v1"
"13","3","12",5,1,1985,"CERRADO_col7_gapfill_v1"
"14","4","12",7,1,1985,"CERRADO_col7_gapfill_v1"
"15","12","12",6,1,1985,"CERRADO_col7_gapfill_v1"
"16","21","12",2,1,1985,"CERRADO_col7_gapfill_v1"
"17","25","12",0,1,1985,"CERRADO_col7_gapfill_v1"
"18","33","12",4,1,1985,"CERRADO_col7_gapfill_v1"
"19","3","21",2,1,1985,"CERRADO_col7_gapfill_v1"
"20","4","21",1,1,1985,"CERRADO_col7_gapfill_v1"
"21","12","21",0,1,1985,"CERRADO_col7_gapfill_v1"
"22","21","21",5,1,1985,"CERRADO_col7_gapfill_v1"
"23","25","21",0,1,1985,"CERRADO_col7_gapfill_v1"
"24","33","21",0,1,1985,"CERRADO_col7_gapfill_v1"
"25","3","25",1,1,1985,"CERRADO_col7_gapfill_v1"
"26","4","25",0,1,1985,"CERRADO_col7_gapfill_v1"
"27","12","25",0,1,1985,"CERRADO_col7_gapfill_v1"
"28","21","25",4,1,1985,"CERRADO_col7_gapfill_v1"
"29","25","25",0,1,1985,"CERRADO_col7_gapfill_v1"
"30","33","25",1,1,1985,"CERRADO_col7_gapfill_v1"
"31","3","33",0,1,1985,"CERRADO_col7_gapfill_v1"
"32","4","33",0,1,1985,"CERRADO_col7_gapfill_v1"
"33","12","33",0,1,1985,"CERRADO_col7_gapfill_v1"
"34","21","33",0,1,1985,"CERRADO_col7_gapfill_v1"
"35","25","33",0,1,1985,"CERRADO_col7_gapfill_v1"
"36","33","33",5,1,1985,"CERRADO_col7_gapfill_v1"
"37","3","3",207,2,1985,"CERRADO_col7_gapfill_v1"
"38","4","3",48,2,1985,"CERRADO_col7_gapfill_v1"
"39","12","3",0,2,1985,"CERRADO_col7_gapfill_v1"
"40","21","3",16,2,1985,"CERRADO_col7_gapfill_v1"
"41","33","3",0,2,1985,"CERRADO_col7_gapfill_v1"
"42","3","4",16,2,1985,"CERRADO_col7_gapfill_v1"
"43","4","4",31,2,1985,"CERRADO_col7_gapfill_v1"
"44","12","4",3,2,1985,"CERRADO_col7_gapfill_v1"
"45","21","4",19,2,1985,"CERRADO_col7_gapfill_v1"
"46","33","4",0,2,1985,"CERRADO_col7_gapfill_v1"
"47","3","12",3,2,1985,"CERRADO_col7_gapfill_v1"
"48","4","12",0,2,1985,"CERRADO_col7_gapfill_v1"
"49","12","12",2,2,1985,"CERRADO_col7_gapfill_v1"
"50","21","12",10,2,1985,"CERRADO_col7_gapfill_v1"
"51","33","12",3,2,1985,"CERRADO_col7_gapfill_v1"
"52","3","21",24,2,1985,"CERRADO_col7_gapfill_v1"
"53","4","21",14,2,1985,"CERRADO_col7_gapfill_v1"
"54","12","21",0,2,1985,"CERRADO_col7_gapfill_v1"
"55","21","21",48,2,1985,"CERRADO_col7_gapfill_v1"
"56","33","21",0,2,1985,"CERRADO_col7_gapfill_v1"
"57","3","33",0,2,1985,"CERRADO_col7_gapfill_v1"
"58","4","33",0,2,1985,"CERRADO_col7_gapfill_v1"
"59","12","33",0,2,1985,"CERRADO_col7_gapfill_v1"
"60","21","33",0,2,1985,"CERRADO_col7_gapfill_v1"
"61","33","33",1,2,1985,"CERRADO_col7_gapfill_v1"
"62","3","3",78,3,1985,"CERRADO_col7_gapfill_v1"
"63","4","3",104,3,1985,"CERRADO_col7_gapfill_v1"
"64","12","3",1,3,1985,"CERRADO_col7_gapfill_v1"
"65","21","3",3,3,1985,"CERRADO_col7_gapfill_v1"
"66","25","3",0,3,1985,"CERRADO_col7_gapfill_v1"
"67","33","3",1,3,1985,"CERRADO_col7_gapfill_v1"
"68","3","4",37,3,1985,"CERRADO_col7_gapfill_v1"
"69","4","4",313,3,1985,"CERRADO_col7_gapfill_v1"
"70","12","4",13,3,1985,"CERRADO_col7_gapfill_v1"
"71","21","4",36,3,1985,"CERRADO_col7_gapfill_v1"
"72","25","4",0,3,1985,"CERRADO_col7_gapfill_v1"
"73","33","4",1,3,1985,"CERRADO_col7_gapfill_v1"
"74","3","12",2,3,1985,"CERRADO_col7_gapfill_v1"
"75","4","12",5,3,1985,"CERRADO_col7_gapfill_v1"
"76","12","12",9,3,1985,"CERRADO_col7_gapfill_v1"
"77","21","12",8,3,1985,"CERRADO_col7_gapfill_v1"
"78","25","12",0,3,1985,"CERRADO_col7_gapfill_v1"
"79","33","12",5,3,1985,"CERRADO_col7_gapfill_v1"
"80","3","21",0,3,1985,"CERRADO_col7_gapfill_v1"
"81","4","21",5,3,1985,"CERRADO_col7_gapfill_v1"
"82","12","21",6,3,1985,"CERRADO_col7_gapfill_v1"
"83","21","21",20,3,1985,"CERRADO_col7_gapfill_v1"
"84","25","21",0,3,1985,"CERRADO_col7_gapfill_v1"
"85","33","21",0,3,1985,"CERRADO_col7_gapfill_v1"
"86","3","25",2,3,1985,"CERRADO_col7_gapfill_v1"
"87","4","25",2,3,1985,"CERRADO_col7_gapfill_v1"
"88","12","25",1,3,1985,"CERRADO_col7_gapfill_v1"
"89","21","25",5,3,1985,"CERRADO_col7_gapfill_v1"
"90","25","25",0,3,1985,"CERRADO_col7_gapfill_v1"
"91","33","25",0,3,1985,"CERRADO_col7_gapfill_v1"
"92","3","33",0,3,1985,"CERRADO_col7_gapfill_v1"
"93","4","33",0,3,1985,"CERRADO_col7_gapfill_v1"
"94","12","33",0,3,1985,"CERRADO_col7_gapfill_v1"
"95","21","33",0,3,1985,"CERRADO_col7_gapfill_v1"
"96","25","33",0,3,1985,"CERRADO_col7_gapfill_v1"
"97","33","33",3,3,1985,"CERRADO_col7_gapfill_v1"
"98","3","3",146,4,1985,"CERRADO_col7_gapfill_v1"
"99","4","3",33,4,1985,"CERRADO_col7_gapfill_v1"
"100","12","3",0,4,1985,"CERRADO_col7_gapfill_v1"
"101","21","3",3,4,1985,"CERRADO_col7_gapfill_v1"
"102","3","4",27,4,1985,"CERRADO_col7_gapfill_v1"
"103","4","4",95,4,1985,"CERRADO_col7_gapfill_v1"
"104","12","4",4,4,1985,"CERRADO_col7_gapfill_v1"
"105","21","4",5,4,1985,"CERRADO_col7_gapfill_v1"
"106","3","12",0,4,1985,"CERRADO_col7_gapfill_v1"
"107","4","12",18,4,1985,"CERRADO_col7_gapfill_v1"
"108","12","12",5,4,1985,"CERRADO_col7_gapfill_v1"
"109","21","12",4,4,1985,"CERRADO_col7_gapfill_v1"
"110","3","21",20,4,1985,"CERRADO_col7_gapfill_v1"
"111","4","21",13,4,1985,"CERRADO_col7_gapfill_v1"
"112","12","21",0,4,1985,"CERRADO_col7_gapfill_v1"
"113","21","21",14,4,1985,"CERRADO_col7_gapfill_v1"
"114","3","3",52,5,1985,"CERRADO_col7_gapfill_v1"
"115","4","3",29,5,1985,"CERRADO_col7_gapfill_v1"
"116","12","3",0,5,1985,"CERRADO_col7_gapfill_v1"
"117","21","3",1,5,1985,"CERRADO_col7_gapfill_v1"
"118","25","3",0,5,1985,"CERRADO_col7_gapfill_v1"
"119","33","3",0,5,1985,"CERRADO_col7_gapfill_v1"
"120","3","4",67,5,1985,"CERRADO_col7_gapfill_v1"
"121","4","4",497,5,1985,"CERRADO_col7_gapfill_v1"
"122","12","4",14,5,1985,"CERRADO_col7_gapfill_v1"
"123","21","4",26,5,1985,"CERRADO_col7_gapfill_v1"
"124","25","4",0,5,1985,"CERRADO_col7_gapfill_v1"
