system:index,area,class_id,file,territory,year,.geo
0_0_0,3342447.10436418,3,CERRADO_col7_gapfill_incidence_temporal_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1218786.7205000913,4,CERRADO_col7_gapfill_incidence_temporal_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,159129.58606267057,11,CERRADO_col7_gapfill_incidence_temporal_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,138447.55137890053,12,CERRADO_col7_gapfill_incidence_temporal_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,127608.98552266418,21,CERRADO_col7_gapfill_incidence_temporal_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,148321.4428203637,25,CERRADO_col7_gapfill_incidence_temporal_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,56351.60854501931,33,CERRADO_col7_gapfill_incidence_temporal_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2977112.0449736477,3,CERRADO_col7_gapfill_incidence_temporal_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,789946.0720725043,4,CERRADO_col7_gapfill_incidence_temporal_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,112657.89898836473,11,CERRADO_col7_gapfill_incidence_temporal_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,43156.18513781178,12,CERRADO_col7_gapfill_incidence_temporal_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1158333.4635959754,21,CERRADO_col7_gapfill_incidence_temporal_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,27980.92751530763,25,CERRADO_col7_gapfill_incidence_temporal_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,5484.233160040324,33,CERRADO_col7_gapfill_incidence_temporal_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
