system:index,area,class_id,file,territory,year,.geo
0_0_0,3310981.9291100013,3,CERRADO_col7_gapfill_incidence_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1198778.3134408249,4,CERRADO_col7_gapfill_incidence_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,185978.24497392902,11,CERRADO_col7_gapfill_incidence_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,142738.71615429677,12,CERRADO_col7_gapfill_incidence_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,86012.48485937575,15,CERRADO_col7_gapfill_incidence_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,43064.92525217049,21,CERRADO_col7_gapfill_incidence_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,166356.9347348904,25,CERRADO_col7_gapfill_incidence_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,57181.45066254244,33,CERRADO_col7_gapfill_incidence_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2881917.4160980606,3,CERRADO_col7_gapfill_incidence_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,747615.9548680095,4,CERRADO_col7_gapfill_incidence_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,122821.59945278816,11,CERRADO_col7_gapfill_incidence_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,49791.44715521118,12,CERRADO_col7_gapfill_incidence_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,654614.8810143071,15,CERRADO_col7_gapfill_incidence_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,615659.3355962049,21,CERRADO_col7_gapfill_incidence_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,36135.56687237555,25,CERRADO_col7_gapfill_incidence_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,6114.624386993438,33,CERRADO_col7_gapfill_incidence_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1396360.2655131607,3,CERRADO_col7_gapfill_incidence_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4001415.5799279707,4,CERRADO_col7_gapfill_incidence_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,74985.74302536676,11,CERRADO_col7_gapfill_incidence_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,270989.59459904226,12,CERRADO_col7_gapfill_incidence_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,146422.35637369746,15,CERRADO_col7_gapfill_incidence_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,196173.5013432828,21,CERRADO_col7_gapfill_incidence_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,67190.44044674677,25,CERRADO_col7_gapfill_incidence_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,6031.061734710738,33,CERRADO_col7_gapfill_incidence_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1760415.2045087132,3,CERRADO_col7_gapfill_incidence_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1340236.2415601409,4,CERRADO_col7_gapfill_incidence_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,23079.591552624523,11,CERRADO_col7_gapfill_incidence_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,298540.34125991445,12,CERRADO_col7_gapfill_incidence_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,291982.9058626158,15,CERRADO_col7_gapfill_incidence_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,53057.32802869145,21,CERRADO_col7_gapfill_incidence_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,22759.710128942912,25,CERRADO_col7_gapfill_incidence_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,454.0525694946288,33,CERRADO_col7_gapfill_incidence_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,411078.6276800741,3,CERRADO_col7_gapfill_incidence_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,5407648.299861717,4,CERRADO_col7_gapfill_incidence_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,58915.89187254649,11,CERRADO_col7_gapfill_incidence_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,609079.8307759046,12,CERRADO_col7_gapfill_incidence_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,42438.399874920564,15,CERRADO_col7_gapfill_incidence_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,374948.46174025553,21,CERRADO_col7_gapfill_incidence_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,83287.87688806135,25,CERRADO_col7_gapfill_incidence_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,31639.985711775655,33,CERRADO_col7_gapfill_incidence_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,1839281.1379894293,3,CERRADO_col7_gapfill_incidence_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,3206724.0467989286,4,CERRADO_col7_gapfill_incidence_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,82901.37648836033,11,CERRADO_col7_gapfill_incidence_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,318468.94443267037,12,CERRADO_col7_gapfill_incidence_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1290097.5784641807,15,CERRADO_col7_gapfill_incidence_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,61593.57653317586,21,CERRADO_col7_gapfill_incidence_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,85463.70261019298,25,CERRADO_col7_gapfill_incidence_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,54998.8386730714,33,CERRADO_col7_gapfill_incidence_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,741542.5141421085,3,CERRADO_col7_gapfill_incidence_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,6148730.205996365,4,CERRADO_col7_gapfill_incidence_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
