system:index,area,class_id,file,territory,year,.geo
0_0_0,3325651.8515752833,3,CERRADO_col7_gapfill_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1175621.587820507,4,CERRADO_col7_gapfill_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,196559.31015795012,11,CERRADO_col7_gapfill_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,134430.56986737647,12,CERRADO_col7_gapfill_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,82565.55037389426,15,CERRADO_col7_gapfill_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,38751.45584045719,21,CERRADO_col7_gapfill_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,181931.0482248441,25,CERRADO_col7_gapfill_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,55581.625335015466,33,CERRADO_col7_gapfill_v1,1.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2995369.2746940344,3,CERRADO_col7_gapfill_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,695694.7271158522,4,CERRADO_col7_gapfill_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,134026.39463600292,11,CERRADO_col7_gapfill_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,50884.01463898818,12,CERRADO_col7_gapfill_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,603823.8254264673,15,CERRADO_col7_gapfill_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,585142.5235602529,21,CERRADO_col7_gapfill_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,43767.74751008321,25,CERRADO_col7_gapfill_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,5962.317861755411,33,CERRADO_col7_gapfill_v1,2.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1436059.7477772722,3,CERRADO_col7_gapfill_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,3930930.2089555403,4,CERRADO_col7_gapfill_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,81491.61959580741,11,CERRADO_col7_gapfill_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,289366.4233044,12,CERRADO_col7_gapfill_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,132804.85608695436,15,CERRADO_col7_gapfill_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,201312.50614389006,21,CERRADO_col7_gapfill_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,81643.92539136342,25,CERRADO_col7_gapfill_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,5959.255713665819,33,CERRADO_col7_gapfill_v1,3.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1780111.3961217168,3,CERRADO_col7_gapfill_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1360100.88289193,4,CERRADO_col7_gapfill_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,25709.66635980836,11,CERRADO_col7_gapfill_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,295972.2178785149,12,CERRADO_col7_gapfill_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,256892.66670144344,15,CERRADO_col7_gapfill_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,44769.20110380168,21,CERRADO_col7_gapfill_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,26508.969760778513,25,CERRADO_col7_gapfill_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,460.37465302124014,33,CERRADO_col7_gapfill_v1,4.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,419067.6736842926,3,CERRADO_col7_gapfill_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,5509342.996247354,4,CERRADO_col7_gapfill_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,64170.400030554265,11,CERRADO_col7_gapfill_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,597234.1015234622,12,CERRADO_col7_gapfill_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,40283.315416131605,15,CERRADO_col7_gapfill_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,261156.7094090175,21,CERRADO_col7_gapfill_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,96139.96053812612,25,CERRADO_col7_gapfill_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,31642.217557533797,33,CERRADO_col7_gapfill_v1,5.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,1933556.6891142516,3,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,3176014.875221948,4,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,87682.28695574259,11,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,289907.4582032256,12,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1223301.0947721547,15,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,57106.71201708188,21,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,117008.90235900422,25,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,54951.18334290771,33,CERRADO_col7_gapfill_v1,6.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,718780.8802244565,3,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,6246154.797913701,4,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,94293.77315948528,11,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,779666.6141493209,12,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,31192.297953301953,15,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,168232.05839337024,21,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,55770.591371472,25,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,2903.668961401364,33,CERRADO_col7_gapfill_v1,7.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,1010096.2984429068,3,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,3429855.3804742796,4,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,306084.72742757644,11,CERRADO_col7_gapfill_v1,8.0,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
