"","value","variable","balancing","mapb"
"Accuracy",0.640625,"Accuracy","raw",6
"Kappa",0.479934002494338,"Kappa","raw",6
"AccuracyLower",0.602088716067631,"AccuracyLower","raw",6
"AccuracyUpper",0.677857274232971,"AccuracyUpper","raw",6
"AccuracyNull",0.496875,"AccuracyNull","raw",6
"AccuracyPValue",0.000000000000167810348315706,"AccuracyPValue","raw",6
"McnemarPValue",NA,"McnemarPValue","raw",6
"Class: 12",0.61862450957766,"Class: 12","raw",6
"Class: 21",0.769121840696902,"Class: 21","raw",6
"Class: 3",0.812217194570136,"Class: 3","raw",6
"Class: 33",1,"Class: 33","raw",6
"Class: 4",0.710131665904123,"Class: 4","raw",6
"Accuracy1",0.668231611893584,"Accuracy","filtered",6
"Kappa1",0.515084262825561,"Kappa","filtered",6
"AccuracyLower1",0.630228183582655,"AccuracyLower","filtered",6
"AccuracyUpper1",0.704671780843841,"AccuracyUpper","filtered",6
"AccuracyNull1",0.496087636932707,"AccuracyNull","filtered",6
"AccuracyPValue1",0.00000000000000000113413654667819,"AccuracyPValue","filtered",6
"McnemarPValue1",NA,"McnemarPValue","filtered",6
"Class: 121",0.593966712898752,"Class: 12","filtered",6
"Class: 211",0.793742774849619,"Class: 21","filtered",6
"Class: 31",0.818898292277467,"Class: 3","filtered",6
"Class: 331",1,"Class: 33","filtered",6
"Class: 41",0.729991849002776,"Class: 4","filtered",6
"Accuracy2",0.639625585023401,"Accuracy","filtered_w_balancing",6
"Kappa2",0.481507808670075,"Kappa","filtered_w_balancing",6
"AccuracyLower2",0.601102527622726,"AccuracyLower","filtered_w_balancing",6
"AccuracyUpper2",0.676855962991164,"AccuracyUpper","filtered_w_balancing",6
"AccuracyNull2",0.497659906396256,"AccuracyNull","filtered_w_balancing",6
"AccuracyPValue2",0.000000000000314836108824335,"AccuracyPValue","filtered_w_balancing",6
"McnemarPValue2",NA,"McnemarPValue","filtered_w_balancing",6
"Class: 122",0.61705069124424,"Class: 12","filtered_w_balancing",6
"Class: 212",0.76817110925057,"Class: 21","filtered_w_balancing",6
"Class: 32",0.819870540418486,"Class: 3","filtered_w_balancing",6
"Class: 332",0.999213836477987,"Class: 33","filtered_w_balancing",6
"Class: 42",0.713671528218136,"Class: 4","filtered_w_balancing",6
"Accuracy3",0.645533141210375,"Accuracy","raw",8
"Kappa3",0.495854004252303,"Kappa","raw",8
"AccuracyLower3",0.608663872519172,"AccuracyLower","raw",8
"AccuracyUpper3",0.68115888478891,"AccuracyUpper","raw",8
"AccuracyNull3",0.410662824207493,"AccuracyNull","raw",8
"AccuracyPValue3",0.0000000000000000000000000000000000104708979332279,"AccuracyPValue","raw",8
"McnemarPValue3",NA,"McnemarPValue","raw",8
"Class: 123",0.765899255009963,"Class: 12","raw",8
"Class: 213",0.718482443482444,"Class: 21","raw",8
"Class: 34",0.793516852680348,"Class: 3","raw",8
"Class: 333",1,"Class: 33","raw",8
"Class: 43",0.71172736241582,"Class: 4","raw",8
"Accuracy4",0.639367816091954,"Accuracy","filtered",8
"Kappa4",0.475930342438015,"Kappa","filtered",8
"AccuracyLower4",0.602444005129578,"AccuracyLower","filtered",8
"AccuracyUpper4",0.675104356127288,"AccuracyUpper","filtered",8
"AccuracyNull4",0.410919540229885,"AccuracyNull","filtered",8
"AccuracyPValue4",0.000000000000000000000000000000000584448825408516,"AccuracyPValue","filtered",8
"McnemarPValue4",NA,"McnemarPValue","filtered",8
"Class: 124",0.772795893719807,"Class: 12","filtered",8
"Class: 214",0.722660181147266,"Class: 21","filtered",8
"Class: 35",0.718356790378116,"Class: 3","filtered",8
"Class: 334",0.999276410998553,"Class: 33","filtered",8
"Class: 44",0.7009977827051,"Class: 4","filtered",8
"Accuracy5",0.651296829971182,"Accuracy","filtered_w_balancing",8
"Kappa5",0.493351192200019,"Kappa","filtered_w_balancing",8
"AccuracyLower5",0.614535677354189,"AccuracyLower","filtered_w_balancing",8
"AccuracyUpper5",0.686765085025425,"AccuracyUpper","filtered_w_balancing",8
"AccuracyNull5",0.412103746397695,"AccuracyNull","filtered_w_balancing",8
"AccuracyPValue5",0.000000000000000000000000000000000000570212603839208,"AccuracyPValue","filtered_w_balancing",8
"McnemarPValue5",NA,"McnemarPValue","filtered_w_balancing",8
"Class: 125",0.767472998870458,"Class: 12","filtered_w_balancing",8
"Class: 215",0.711989416838824,"Class: 21","filtered_w_balancing",8
"Class: 36",0.768034835771944,"Class: 3","filtered_w_balancing",8
"Class: 335",0.999274310595065,"Class: 33","filtered_w_balancing",8
"Class: 45",0.710758604140957,"Class: 4","filtered_w_balancing",8
"Accuracy6",0.83562540929928,"Accuracy","raw",18
"Kappa6",0.758977874061055,"Kappa","raw",18
"AccuracyLower6",0.816067775920383,"AccuracyLower","raw",18
"AccuracyUpper6",0.853882528401055,"AccuracyUpper","raw",18
"AccuracyNull6",0.407334643091028,"AccuracyNull","raw",18
"AccuracyPValue6",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130213830272766,"AccuracyPValue","raw",18
"McnemarPValue6",NA,"McnemarPValue","raw",18
"Class: 126",0.770065141645205,"Class: 12","raw",18
"Class: 216",0.94835455472853,"Class: 21","raw",18
"Class: 37",0.901688547014621,"Class: 3","raw",18
"Class: 336",0.998688524590164,"Class: 33","raw",18
"Class: 46",0.795375827129859,"Class: 4","raw",18
"Accuracy7",0.830508474576271,"Accuracy","filtered",18
"Kappa7",0.751752434611253,"Kappa","filtered",18
"AccuracyLower7",0.810779514233728,"AccuracyLower","filtered",18
"AccuracyUpper7",0.84896299834485,"AccuracyUpper","filtered",18
"AccuracyNull7",0.405475880052151,"AccuracyNull","filtered",18
"AccuracyPValue7",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000321571513406153,"AccuracyPValue","filtered",18
"McnemarPValue7",NA,"McnemarPValue","filtered",18
"Class: 127",0.751374113475177,"Class: 12","filtered",18
"Class: 217",0.938187934380422,"Class: 21","filtered",18
"Class: 38",0.904585871833926,"Class: 3","filtered",18
"Class: 337",0.99934725848564,"Class: 33","filtered",18
"Class: 47",0.797668108926302,"Class: 4","filtered",18
"Accuracy8",0.833769633507853,"Accuracy","filtered_w_balancing",18
"Kappa8",0.756778775170519,"Kappa","filtered_w_balancing",18
"AccuracyLower8",0.814138701203294,"AccuracyLower","filtered_w_balancing",18
"AccuracyUpper8",0.852108227282748,"AccuracyUpper","filtered_w_balancing",18
