"","value","variable","balancing","mapb"
"Accuracy",0.618380062305296,"Accuracy","GEDI*",6
"Kappa",0.458013162882051,"Kappa","GEDI*",6
"AccuracyLower",0.57954914843098,"AccuracyLower","GEDI*",6
"AccuracyUpper",0.656117054596419,"AccuracyUpper","GEDI*",6
"AccuracyNull",0.498442367601246,"AccuracyNull","GEDI*",6
"AccuracyPValue",0.000000000658361006791087,"AccuracyPValue","GEDI*",6
"McnemarPValue",NA,"McnemarPValue","GEDI*",6
"Class: 12",0.599723947550035,"Class: 12","GEDI*",6
"Class: 21",0.728192934782609,"Class: 21","GEDI*",6
"Class: 3",0.847746394230769,"Class: 3","GEDI*",6
"Class: 33",1,"Class: 33","GEDI*",6
"Class: 4",0.713981978333502,"Class: 4","GEDI*",6
"Accuracy1",0.66857962697274,"Accuracy","GEDI*",8
"Kappa1",0.53048643573047,"Kappa","GEDI*",8
"AccuracyLower1",0.632258278490203,"AccuracyLower","GEDI*",8
"AccuracyUpper1",0.70346620157007,"AccuracyUpper","GEDI*",8
"AccuracyNull1",0.410329985652798,"AccuracyNull","GEDI*",8
"AccuracyPValue1",0.000000000000000000000000000000000000000000490505114125867,"AccuracyPValue","GEDI*",8
"McnemarPValue1",NA,"McnemarPValue","GEDI*",8
"Class: 121",0.765040014137487,"Class: 12","GEDI*",8
"Class: 211",0.721527086591782,"Class: 21","GEDI*",8
"Class: 31",0.844994455884682,"Class: 3","GEDI*",8
"Class: 331",1,"Class: 33","GEDI*",8
"Class: 41",0.736124581015092,"Class: 4","GEDI*",8
"Accuracy2",0.851803278688525,"Accuracy","GEDI*",18
"Kappa2",0.781662431684383,"Kappa","GEDI*",18
"AccuracyLower2",0.832967504082813,"AccuracyLower","GEDI*",18
"AccuracyUpper2",0.869272729497282,"AccuracyUpper","GEDI*",18
"AccuracyNull2",0.407868852459016,"AccuracyNull","GEDI*",18
"AccuracyPValue2",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106223348545241,"AccuracyPValue","GEDI*",18
"McnemarPValue2",NA,"McnemarPValue","GEDI*",18
"Class: 122",0.772131525343087,"Class: 12","GEDI*",18
"Class: 212",0.94574253062217,"Class: 21","GEDI*",18
"Class: 32",0.916277645433407,"Class: 3","GEDI*",18
"Class: 332",0.999671700590939,"Class: 33","GEDI*",18
"Class: 42",0.817437304751549,"Class: 4","GEDI*",18
"Accuracy3",0.695928753180662,"Accuracy","GEDI*",15
"Kappa3",0.550279737523132,"Kappa","GEDI*",15
"AccuracyLower3",0.662441469474158,"AccuracyLower","GEDI*",15
"AccuracyUpper3",0.727938360025628,"AccuracyUpper","GEDI*",15
"AccuracyNull3",0.489821882951654,"AccuracyNull","GEDI*",15
"AccuracyPValue3",0.000000000000000000000000000000101603899403728,"AccuracyPValue","GEDI*",15
"McnemarPValue3",NA,"McnemarPValue","GEDI*",15
"Class: 123",0.643828647524427,"Class: 12","GEDI*",15
"Class: 213",0.841862875279334,"Class: 21","GEDI*",15
"Class: 34",0.816349825668272,"Class: 3","GEDI*",15
"Class: 333",0.817536656891496,"Class: 33","GEDI*",15
"Class: 43",0.712716476991588,"Class: 4","GEDI*",15
"Accuracy4",0.775388291517324,"Accuracy","GEDI*",20
"Kappa4",0.612853701922249,"Kappa","GEDI*",20
"AccuracyLower4",0.745575042531332,"AccuracyLower","GEDI*",20
"AccuracyUpper4",0.803247607381248,"AccuracyUpper","GEDI*",20
"AccuracyNull4",0.606929510155317,"AccuracyNull","GEDI*",20
"AccuracyPValue4",0.00000000000000000000000026535395815378,"AccuracyPValue","GEDI*",20
"McnemarPValue4",NA,"McnemarPValue","GEDI*",20
"Class: 124",0.598733108108108,"Class: 12","GEDI*",20
"Class: 214",0.88721788765766,"Class: 21","GEDI*",20
"Class: 35",0.780596417980334,"Class: 3","GEDI*",20
