"","value","variable","region","year","file"
"Accuracy",0.689655172413793,"Accuracy",1,1985,"mapbiomas_collection70_integration_v2"
"Kappa",0.450548908350808,"Kappa",1,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower",0.645370576842139,"AccuracyLower",1,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper",0.731502179602262,"AccuracyUpper",1,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull",0.642241379310345,"AccuracyNull",1,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue",0.0178925111022414,"AccuracyPValue",1,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue",NA,"McnemarPValue",1,1985,"mapbiomas_collection70_integration_v2"
"Class: 3",0.794169968464462,"Class: 3",1,1985,"mapbiomas_collection70_integration_v2"
"Class: 4",0.708330383480826,"Class: 4",1,1985,"mapbiomas_collection70_integration_v2"
"Class: 12",0.649850523168909,"Class: 12",1,1985,"mapbiomas_collection70_integration_v2"
"Class: 21",0.691452991452991,"Class: 21",1,1985,"mapbiomas_collection70_integration_v2"
"Class: 25",0.5,"Class: 25",1,1985,"mapbiomas_collection70_integration_v2"
"Class: 33",0.906883403572145,"Class: 33",1,1985,"mapbiomas_collection70_integration_v2"
"Accuracy1",0.658426966292135,"Accuracy",2,1985,"mapbiomas_collection70_integration_v2"
"Kappa1",0.408379253039447,"Kappa",2,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower1",0.612299900359064,"AccuracyLower",2,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper1",0.70243141363324,"AccuracyUpper",2,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull1",0.615730337078652,"AccuracyNull",2,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue1",0.0349643521162992,"AccuracyPValue",2,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue1",NA,"McnemarPValue",2,1985,"mapbiomas_collection70_integration_v2"
"Class: 31",0.756755026251761,"Class: 3",2,1985,"mapbiomas_collection70_integration_v2"
"Class: 41",0.61550171665479,"Class: 4",2,1985,"mapbiomas_collection70_integration_v2"
"Class: 121",0.62046485260771,"Class: 12",2,1985,"mapbiomas_collection70_integration_v2"
"Class: 211",0.734842603049125,"Class: 21",2,1985,"mapbiomas_collection70_integration_v2"
"Class: 331",1,"Class: 33",2,1985,"mapbiomas_collection70_integration_v2"
"Accuracy2",0.668181818181818,"Accuracy",3,1985,"mapbiomas_collection70_integration_v2"
"Kappa2",0.364782195970889,"Kappa",3,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower2",0.630809527824563,"AccuracyLower",3,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper2",0.704041583592994,"AccuracyUpper",3,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull2",0.654545454545455,"AccuracyNull",3,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue2",0.243974740724568,"AccuracyPValue",3,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue2",NA,"McnemarPValue",3,1985,"mapbiomas_collection70_integration_v2"
"Class: 32",0.694468641114983,"Class: 3",3,1985,"mapbiomas_collection70_integration_v2"
"Class: 42",0.668189571150097,"Class: 4",3,1985,"mapbiomas_collection70_integration_v2"
"Class: 122",0.673261792980103,"Class: 12",3,1985,"mapbiomas_collection70_integration_v2"
"Class: 212",0.704113924050633,"Class: 21",3,1985,"mapbiomas_collection70_integration_v2"
"Class: 251",0.5,"Class: 25",3,1985,"mapbiomas_collection70_integration_v2"
"Class: 332",0.999231950844854,"Class: 33",3,1985,"mapbiomas_collection70_integration_v2"
"Accuracy3",0.664082687338501,"Accuracy",4,1985,"mapbiomas_collection70_integration_v2"
"Kappa3",0.453882309520967,"Kappa",4,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower3",0.614614821211168,"AccuracyLower",4,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper3",0.711017785854031,"AccuracyUpper",4,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull3",0.478036175710594,"AccuracyNull",4,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue3",1.23350757025194e-13,"AccuracyPValue",4,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue3",NA,"McnemarPValue",4,1985,"mapbiomas_collection70_integration_v2"
"Class: 34",0.783435911158683,"Class: 3",4,1985,"mapbiomas_collection70_integration_v2"
"Class: 43",0.715116279069767,"Class: 4",4,1985,"mapbiomas_collection70_integration_v2"
"Class: 123",0.569997869166844,"Class: 12",4,1985,"mapbiomas_collection70_integration_v2"
"Class: 213",0.65925028688002,"Class: 21",4,1985,"mapbiomas_collection70_integration_v2"
"Class: 252",0.5,"Class: 25",4,1985,"mapbiomas_collection70_integration_v2"
"Accuracy4",0.726600985221675,"Accuracy",5,1985,"mapbiomas_collection70_integration_v2"
"Kappa4",0.343271837020197,"Kappa",5,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower4",0.694543168019626,"AccuracyLower",5,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper4",0.757003785825781,"AccuracyUpper",5,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull4",0.769704433497537,"AccuracyNull",5,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue4",0.998170651950949,"AccuracyPValue",5,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue4",NA,"McnemarPValue",5,1985,"mapbiomas_collection70_integration_v2"
"Class: 35",0.818967741935484,"Class: 3",5,1985,"mapbiomas_collection70_integration_v2"
"Class: 44",0.678053475935829,"Class: 4",5,1985,"mapbiomas_collection70_integration_v2"
"Class: 124",0.551013513513513,"Class: 12",5,1985,"mapbiomas_collection70_integration_v2"
"Class: 214",0.679759337041662,"Class: 21",5,1985,"mapbiomas_collection70_integration_v2"
"Class: 253",0.5,"Class: 25",5,1985,"mapbiomas_collection70_integration_v2"
"Class: 333",1,"Class: 33",5,1985,"mapbiomas_collection70_integration_v2"
"Accuracy5",0.67629179331307,"Accuracy",6,1985,"mapbiomas_collection70_integration_v2"
"Kappa5",0.523648648648649,"Kappa",6,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower5",0.639050396732471,"AccuracyLower",6,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper5",0.711942587821761,"AccuracyUpper",6,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull5",0.5,"AccuracyNull",6,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue5",4.4754678383082e-20,"AccuracyPValue",6,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue5",NA,"McnemarPValue",6,1985,"mapbiomas_collection70_integration_v2"
"Class: 36",0.855465190450155,"Class: 3",6,1985,"mapbiomas_collection70_integration_v2"
"Class: 45",0.737082066869301,"Class: 4",6,1985,"mapbiomas_collection70_integration_v2"
"Class: 125",0.554298642533937,"Class: 12",6,1985,"mapbiomas_collection70_integration_v2"
"Class: 215",0.807310469314079,"Class: 21",6,1985,"mapbiomas_collection70_integration_v2"
"Class: 254",0.5,"Class: 25",6,1985,"mapbiomas_collection70_integration_v2"
"Class: 334",1,"Class: 33",6,1985,"mapbiomas_collection70_integration_v2"
"Accuracy6",0.79490022172949,"Accuracy",7,1985,"mapbiomas_collection70_integration_v2"
"Kappa6",0.335152794932069,"Kappa",7,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower6",0.767051925465379,"AccuracyLower",7,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper6",0.82080690980269,"AccuracyUpper",7,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull6",0.80820399113082,"AccuracyNull",7,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue6",0.854574708839614,"AccuracyPValue",7,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue6",NA,"McnemarPValue",7,1985,"mapbiomas_collection70_integration_v2"
"Class: 37",0.805622489959839,"Class: 3",7,1985,"mapbiomas_collection70_integration_v2"
"Class: 46",0.667233600545525,"Class: 4",7,1985,"mapbiomas_collection70_integration_v2"
"Class: 126",0.517380878826662,"Class: 12",7,1985,"mapbiomas_collection70_integration_v2"
"Class: 216",0.601262878032569,"Class: 21",7,1985,"mapbiomas_collection70_integration_v2"
"Class: 255",0.5,"Class: 25",7,1985,"mapbiomas_collection70_integration_v2"
"Accuracy7",0.672340425531915,"Accuracy",8,1985,"mapbiomas_collection70_integration_v2"
"Kappa7",0.473032791659386,"Kappa",8,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower7",0.636317692398842,"AccuracyLower",8,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper7",0.706913092110663,"AccuracyUpper",8,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull7",0.556028368794326,"AccuracyNull",8,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue7",1.91285870192666e-10,"AccuracyPValue",8,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue7",NA,"McnemarPValue",8,1985,"mapbiomas_collection70_integration_v2"
"Class: 38",0.870403472931563,"Class: 3",8,1985,"mapbiomas_collection70_integration_v2"
"Class: 47",0.706983112733911,"Class: 4",8,1985,"mapbiomas_collection70_integration_v2"
"Class: 127",0.726455301455301,"Class: 12",8,1985,"mapbiomas_collection70_integration_v2"
"Class: 217",0.712554620488752,"Class: 21",8,1985,"mapbiomas_collection70_integration_v2"
"Class: 256",0.5,"Class: 25",8,1985,"mapbiomas_collection70_integration_v2"
"Class: 335",1,"Class: 33",8,1985,"mapbiomas_collection70_integration_v2"
"Accuracy8",0.760355029585799,"Accuracy",9,1985,"mapbiomas_collection70_integration_v2"
"Kappa8",0.674578070913406,"Kappa",9,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower8",0.732854351360247,"AccuracyLower",9,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper8",0.786334968344319,"AccuracyUpper",9,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull8",0.325443786982249,"AccuracyNull",9,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue8",4.07874897211065e-177,"AccuracyPValue",9,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue8",NA,"McnemarPValue",9,1985,"mapbiomas_collection70_integration_v2"
"Class: 39",0.910897435897436,"Class: 3",9,1985,"mapbiomas_collection70_integration_v2"
"Class: 48",0.722701149425287,"Class: 4",9,1985,"mapbiomas_collection70_integration_v2"
"Class: 128",0.898258904837852,"Class: 12",9,1985,"mapbiomas_collection70_integration_v2"
"Class: 218",0.858665207877462,"Class: 21",9,1985,"mapbiomas_collection70_integration_v2"
"Class: 257",0.5,"Class: 25",9,1985,"mapbiomas_collection70_integration_v2"
"Class: 336",0.869565217391304,"Class: 33",9,1985,"mapbiomas_collection70_integration_v2"
"Accuracy9",0.693920335429769,"Accuracy",10,1985,"mapbiomas_collection70_integration_v2"
"Kappa9",0.567886824842554,"Kappa",10,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower9",0.669312406076002,"AccuracyLower",10,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper9",0.717729524147492,"AccuracyUpper",10,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull9",0.380852550663871,"AccuracyNull",10,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue9",5.9974055746358e-127,"AccuracyPValue",10,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue9",NA,"McnemarPValue",10,1985,"mapbiomas_collection70_integration_v2"
"Class: 310",0.887308761107888,"Class: 3",10,1985,"mapbiomas_collection70_integration_v2"
"Class: 49",0.719284693602833,"Class: 4",10,1985,"mapbiomas_collection70_integration_v2"
"Class: 129",0.721435064935065,"Class: 12",10,1985,"mapbiomas_collection70_integration_v2"
"Class: 219",0.822258146856122,"Class: 21",10,1985,"mapbiomas_collection70_integration_v2"
"Class: 258",0.5,"Class: 25",10,1985,"mapbiomas_collection70_integration_v2"
"Class: 337",0.894736842105263,"Class: 33",10,1985,"mapbiomas_collection70_integration_v2"
"Accuracy10",0.557142857142857,"Accuracy",11,1985,"mapbiomas_collection70_integration_v2"
"Kappa10",0.364843347538988,"Kappa",11,1985,"mapbiomas_collection70_integration_v2"
"AccuracyLower10",0.503377854813828,"AccuracyLower",11,1985,"mapbiomas_collection70_integration_v2"
"AccuracyUpper10",0.609932950117273,"AccuracyUpper",11,1985,"mapbiomas_collection70_integration_v2"
"AccuracyNull10",0.42,"AccuracyNull",11,1985,"mapbiomas_collection70_integration_v2"
"AccuracyPValue10",1.67512324058451e-07,"AccuracyPValue",11,1985,"mapbiomas_collection70_integration_v2"
"McnemarPValue10",NA,"McnemarPValue",11,1985,"mapbiomas_collection70_integration_v2"
"Class: 311",0.81743641231593,"Class: 3",11,1985,"mapbiomas_collection70_integration_v2"
"Class: 410",0.638282899366643,"Class: 4",11,1985,"mapbiomas_collection70_integration_v2"
"Class: 1210",0.680542808443687,"Class: 12",11,1985,"mapbiomas_collection70_integration_v2"
"Class: 2110",0.716821465428277,"Class: 21",11,1985,"mapbiomas_collection70_integration_v2"
"Class: 259",0.5,"Class: 25",11,1985,"mapbiomas_collection70_integration_v2"
"Class: 338",0.998567335243553,"Class: 33",11,1985,"mapbiomas_collection70_integration_v2"
"Accuracy11",0.64105504587156,"Accuracy",12,1985,"mapbiomas_collection70_integration_v2"
