"","Prediction","Reference","Freq","region","year","file"
"1","3","3",222,1,1985,"mapbiomas_collection70_integration_v2"
"2","4","3",65,1,1985,"mapbiomas_collection70_integration_v2"
"3","12","3",1,1,1985,"mapbiomas_collection70_integration_v2"
"4","21","3",9,1,1985,"mapbiomas_collection70_integration_v2"
"5","25","3",0,1,1985,"mapbiomas_collection70_integration_v2"
"6","33","3",1,1,1985,"mapbiomas_collection70_integration_v2"
"7","3","4",18,1,1985,"mapbiomas_collection70_integration_v2"
"8","4","4",79,1,1985,"mapbiomas_collection70_integration_v2"
"9","12","4",12,1,1985,"mapbiomas_collection70_integration_v2"
"10","21","4",16,1,1985,"mapbiomas_collection70_integration_v2"
"11","25","4",0,1,1985,"mapbiomas_collection70_integration_v2"
"12","33","4",0,1,1985,"mapbiomas_collection70_integration_v2"
"13","3","12",4,1,1985,"mapbiomas_collection70_integration_v2"
"14","4","12",5,1,1985,"mapbiomas_collection70_integration_v2"
"15","12","12",6,1,1985,"mapbiomas_collection70_integration_v2"
"16","21","12",3,1,1985,"mapbiomas_collection70_integration_v2"
"17","25","12",0,1,1985,"mapbiomas_collection70_integration_v2"
"18","33","12",0,1,1985,"mapbiomas_collection70_integration_v2"
"19","3","21",2,1,1985,"mapbiomas_collection70_integration_v2"
"20","4","21",2,1,1985,"mapbiomas_collection70_integration_v2"
"21","12","21",1,1,1985,"mapbiomas_collection70_integration_v2"
"22","21","21",4,1,1985,"mapbiomas_collection70_integration_v2"
"23","25","21",0,1,1985,"mapbiomas_collection70_integration_v2"
"24","33","21",0,1,1985,"mapbiomas_collection70_integration_v2"
"25","3","25",1,1,1985,"mapbiomas_collection70_integration_v2"
"26","4","25",1,1,1985,"mapbiomas_collection70_integration_v2"
"27","12","25",0,1,1985,"mapbiomas_collection70_integration_v2"
"28","21","25",0,1,1985,"mapbiomas_collection70_integration_v2"
"29","25","25",0,1,1985,"mapbiomas_collection70_integration_v2"
"30","33","25",1,1,1985,"mapbiomas_collection70_integration_v2"
"31","3","33",1,1,1985,"mapbiomas_collection70_integration_v2"
"32","4","33",0,1,1985,"mapbiomas_collection70_integration_v2"
"33","12","33",1,1,1985,"mapbiomas_collection70_integration_v2"
"34","21","33",0,1,1985,"mapbiomas_collection70_integration_v2"
"35","25","33",0,1,1985,"mapbiomas_collection70_integration_v2"
"36","33","33",9,1,1985,"mapbiomas_collection70_integration_v2"
"37","3","3",208,2,1985,"mapbiomas_collection70_integration_v2"
"38","4","3",47,2,1985,"mapbiomas_collection70_integration_v2"
"39","12","3",1,2,1985,"mapbiomas_collection70_integration_v2"
"40","21","3",18,2,1985,"mapbiomas_collection70_integration_v2"
"41","33","3",0,2,1985,"mapbiomas_collection70_integration_v2"
"42","3","4",23,2,1985,"mapbiomas_collection70_integration_v2"
"43","4","4",34,2,1985,"mapbiomas_collection70_integration_v2"
"44","12","4",3,2,1985,"mapbiomas_collection70_integration_v2"
"45","21","4",26,2,1985,"mapbiomas_collection70_integration_v2"
"46","33","4",0,2,1985,"mapbiomas_collection70_integration_v2"
"47","3","12",0,2,1985,"mapbiomas_collection70_integration_v2"
"48","4","12",0,2,1985,"mapbiomas_collection70_integration_v2"
"49","12","12",1,2,1985,"mapbiomas_collection70_integration_v2"
"50","21","12",3,2,1985,"mapbiomas_collection70_integration_v2"
"51","33","12",0,2,1985,"mapbiomas_collection70_integration_v2"
"52","3","21",19,2,1985,"mapbiomas_collection70_integration_v2"
"53","4","21",12,2,1985,"mapbiomas_collection70_integration_v2"
"54","12","21",0,2,1985,"mapbiomas_collection70_integration_v2"
"55","21","21",46,2,1985,"mapbiomas_collection70_integration_v2"
"56","33","21",0,2,1985,"mapbiomas_collection70_integration_v2"
"57","3","33",0,2,1985,"mapbiomas_collection70_integration_v2"
"58","4","33",0,2,1985,"mapbiomas_collection70_integration_v2"
"59","12","33",0,2,1985,"mapbiomas_collection70_integration_v2"
"60","21","33",0,2,1985,"mapbiomas_collection70_integration_v2"
"61","33","33",4,2,1985,"mapbiomas_collection70_integration_v2"
"62","3","3",79,3,1985,"mapbiomas_collection70_integration_v2"
"63","4","3",86,3,1985,"mapbiomas_collection70_integration_v2"
"64","12","3",0,3,1985,"mapbiomas_collection70_integration_v2"
"65","21","3",2,3,1985,"mapbiomas_collection70_integration_v2"
"66","25","3",0,3,1985,"mapbiomas_collection70_integration_v2"
"67","33","3",1,3,1985,"mapbiomas_collection70_integration_v2"
"68","3","4",37,3,1985,"mapbiomas_collection70_integration_v2"
"69","4","4",331,3,1985,"mapbiomas_collection70_integration_v2"
"70","12","4",15,3,1985,"mapbiomas_collection70_integration_v2"
"71","21","4",49,3,1985,"mapbiomas_collection70_integration_v2"
"72","25","4",0,3,1985,"mapbiomas_collection70_integration_v2"
"73","33","4",0,3,1985,"mapbiomas_collection70_integration_v2"
"74","3","12",1,3,1985,"mapbiomas_collection70_integration_v2"
"75","4","12",6,3,1985,"mapbiomas_collection70_integration_v2"
"76","12","12",8,3,1985,"mapbiomas_collection70_integration_v2"
"77","21","12",6,3,1985,"mapbiomas_collection70_integration_v2"
"78","25","12",0,3,1985,"mapbiomas_collection70_integration_v2"
"79","33","12",0,3,1985,"mapbiomas_collection70_integration_v2"
"80","3","21",1,3,1985,"mapbiomas_collection70_integration_v2"
"81","4","21",6,3,1985,"mapbiomas_collection70_integration_v2"
"82","12","21",7,3,1985,"mapbiomas_collection70_integration_v2"
"83","21","21",14,3,1985,"mapbiomas_collection70_integration_v2"
"84","25","21",0,3,1985,"mapbiomas_collection70_integration_v2"
"85","33","21",0,3,1985,"mapbiomas_collection70_integration_v2"
"86","3","25",1,3,1985,"mapbiomas_collection70_integration_v2"
"87","4","25",0,3,1985,"mapbiomas_collection70_integration_v2"
"88","12","25",0,3,1985,"mapbiomas_collection70_integration_v2"
"89","21","25",1,3,1985,"mapbiomas_collection70_integration_v2"
"90","25","25",0,3,1985,"mapbiomas_collection70_integration_v2"
"91","33","25",0,3,1985,"mapbiomas_collection70_integration_v2"
"92","3","33",0,3,1985,"mapbiomas_collection70_integration_v2"
"93","4","33",0,3,1985,"mapbiomas_collection70_integration_v2"
"94","12","33",0,3,1985,"mapbiomas_collection70_integration_v2"
"95","21","33",0,3,1985,"mapbiomas_collection70_integration_v2"
"96","25","33",0,3,1985,"mapbiomas_collection70_integration_v2"
"97","33","33",9,3,1985,"mapbiomas_collection70_integration_v2"
"98","3","3",147,4,1985,"mapbiomas_collection70_integration_v2"
"99","4","3",34,4,1985,"mapbiomas_collection70_integration_v2"
"100","12","3",0,4,1985,"mapbiomas_collection70_integration_v2"
"101","21","3",4,4,1985,"mapbiomas_collection70_integration_v2"
"102","25","3",0,4,1985,"mapbiomas_collection70_integration_v2"
"103","3","4",29,4,1985,"mapbiomas_collection70_integration_v2"
"104","4","4",90,4,1985,"mapbiomas_collection70_integration_v2"
"105","12","4",5,4,1985,"mapbiomas_collection70_integration_v2"
"106","21","4",5,4,1985,"mapbiomas_collection70_integration_v2"
"107","25","4",0,4,1985,"mapbiomas_collection70_integration_v2"
"108","3","12",0,4,1985,"mapbiomas_collection70_integration_v2"
"109","4","12",21,4,1985,"mapbiomas_collection70_integration_v2"
"110","12","12",4,4,1985,"mapbiomas_collection70_integration_v2"
"111","21","12",1,4,1985,"mapbiomas_collection70_integration_v2"
"112","25","12",0,4,1985,"mapbiomas_collection70_integration_v2"
"113","3","21",16,4,1985,"mapbiomas_collection70_integration_v2"
"114","4","21",14,4,1985,"mapbiomas_collection70_integration_v2"
"115","12","21",0,4,1985,"mapbiomas_collection70_integration_v2"
"116","21","21",16,4,1985,"mapbiomas_collection70_integration_v2"
"117","25","21",0,4,1985,"mapbiomas_collection70_integration_v2"
"118","3","25",1,4,1985,"mapbiomas_collection70_integration_v2"
"119","4","25",0,4,1985,"mapbiomas_collection70_integration_v2"
"120","12","25",0,4,1985,"mapbiomas_collection70_integration_v2"
"121","21","25",0,4,1985,"mapbiomas_collection70_integration_v2"
"122","25","25",0,4,1985,"mapbiomas_collection70_integration_v2"
"123","3","3",46,5,1985,"mapbiomas_collection70_integration_v2"
"124","4","3",16,5,1985,"mapbiomas_collection70_integration_v2"
"125","12","3",0,5,1985,"mapbiomas_collection70_integration_v2"
"126","21","3",0,5,1985,"mapbiomas_collection70_integration_v2"
"127","25","3",0,5,1985,"mapbiomas_collection70_integration_v2"
"128","33","3",0,5,1985,"mapbiomas_collection70_integration_v2"
"129","3","4",71,5,1985,"mapbiomas_collection70_integration_v2"
"130","4","4",510,5,1985,"mapbiomas_collection70_integration_v2"
"131","12","4",16,5,1985,"mapbiomas_collection70_integration_v2"
"132","21","4",28,5,1985,"mapbiomas_collection70_integration_v2"
"133","25","4",0,5,1985,"mapbiomas_collection70_integration_v2"
"134","33","4",0,5,1985,"mapbiomas_collection70_integration_v2"
"135","3","12",2,5,1985,"mapbiomas_collection70_integration_v2"
"136","4","12",49,5,1985,"mapbiomas_collection70_integration_v2"
"137","12","12",9,5,1985,"mapbiomas_collection70_integration_v2"
"138","21","12",12,5,1985,"mapbiomas_collection70_integration_v2"
"139","25","12",0,5,1985,"mapbiomas_collection70_integration_v2"
"140","33","12",0,5,1985,"mapbiomas_collection70_integration_v2"
"141","3","21",5,5,1985,"mapbiomas_collection70_integration_v2"
"142","4","21",21,5,1985,"mapbiomas_collection70_integration_v2"
"143","12","21",1,5,1985,"mapbiomas_collection70_integration_v2"
"144","21","21",19,5,1985,"mapbiomas_collection70_integration_v2"
"145","25","21",0,5,1985,"mapbiomas_collection70_integration_v2"
"146","33","21",0,5,1985,"mapbiomas_collection70_integration_v2"
"147","3","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"148","4","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"149","12","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"150","21","25",1,5,1985,"mapbiomas_collection70_integration_v2"
"151","25","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"152","33","25",0,5,1985,"mapbiomas_collection70_integration_v2"
"153","3","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"154","4","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"155","12","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"156","21","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"157","25","33",0,5,1985,"mapbiomas_collection70_integration_v2"
"158","33","33",6,5,1985,"mapbiomas_collection70_integration_v2"
"159","3","3",161,6,1985,"mapbiomas_collection70_integration_v2"
"160","4","3",11,6,1985,"mapbiomas_collection70_integration_v2"
