system:index,area,class_id,file,territory,year,.geo
0_0_0,1.8147853912306942E7,3,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,3.912916089856264E7,4,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,111.64116506958015,5,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,3008937.2176200585,9,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,3362377.55670367,11,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,5500827.415985943,12,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,3.929570021219937E7,15,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,2666878.6516112518,20,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,1.1473087462135635E7,21,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,1088.5589130310036,23,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,142533.55102023427,24,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,314149.747434504,25,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,186224.30904134418,29,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,39622.35404312189,30,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,138.43947453613293,32,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,556246.1822886809,33,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,1.807822862257408E7,39,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,100535.43839297572,40,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,2019369.9813744493,41,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,317839.2222065825,46,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,223216.58459326747,47,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,35625.843224810655,48,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,202917.15912391467,62,mapbiomas_collection70_integration_v2,1,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,1660248.9079329537,3,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,2115845.4665835863,4,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,1559.6781820861654,5,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,8169.398924914542,9,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,202670.04670409713,11,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,188129.95247092395,12,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,1740555.5559655905,15,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,2100.4450715270955,20,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,420388.6979465201,21,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,11.876759118652336,23,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,3824.735038598629,24,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_11,12266.838622876005,25,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_12,1240.8306623474118,29,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_13,133.88943389892583,30,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_14,252.62580502929546,32,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_15,17442.963862945533,33,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_16,178094.76171129048,39,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_17,28.41576759033202,40,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_18,32294.07619142456,41,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_19,584.9612596923823,46,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_20,663.005904431154,47,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_21,184.28528513183596,48,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_22,82.36367960205065,62,mapbiomas_collection70_integration_v2,2,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,2438395.6867706315,3,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,3356455.4266526024,4,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,2180.186958715823,9,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,1534174.0895215387,11,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,1060091.2028346208,12,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,218060.50518123814,15,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,1497.2651727539157,20,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,147253.13131035925,21,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,119.23460380859377,24,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_9,13688.799034319934,25,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_10,4.26971865234375,29,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_11,147.37711347656085,30,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_12,25524.43749170531,33,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_13,62421.388223637296,39,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_14,223.4595289916994,40,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_15,8996.317110967862,41,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_16,3.1981757812500002,46,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_17,0.43218040771484373,48,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_18,0.2598143981933594,62,mapbiomas_collection70_integration_v2,3,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,513531.18410160847,3,mapbiomas_collection70_integration_v2,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1696102.3652940942,4,mapbiomas_collection70_integration_v2,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,28084.640690047323,5,mapbiomas_collection70_integration_v2,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,5851.823419732691,9,mapbiomas_collection70_integration_v2,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,311711.9301038151,11,mapbiomas_collection70_integration_v2,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,1647495.1446852926,12,mapbiomas_collection70_integration_v2,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,165564.7058698571,15,mapbiomas_collection70_integration_v2,4,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
