system:index,area,class_id,file,territory,.geo
0_0,7.473222746495476E7,0,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,1.5305292573584286E7,3,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,3.591437613408511E7,4,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,5122.59815589586,5,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,323209.6844245238,9,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,4142313.2991695176,11,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,6293179.240283251,12,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,1.2958838855226038E7,15,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,85745.53904107085,20,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,1309258.7280150962,21,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,3830.7562309813648,23,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,8807.850969299325,24,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,90897.04445776959,25,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,190119.2145113451,29,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,5459.7520248229785,30,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,765.7288493103058,32,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16,49706.99473009645,33,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17,237625.37825862013,39,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18,748.8958372985858,41,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19,7219.119480047641,46,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20,6615.206539166215,47,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21,392.8433671630859,48,stable_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,502430.6208637174,0,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,335559.11503460526,3,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,1255521.9996385605,4,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,9748.724970459132,5,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,2326.725343664523,9,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,130748.93035504872,11,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,1041254.8686037645,12,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,97310.45916399403,15,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,90.31542877197263,20,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,6207.203374737555,21,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,52841.99593469576,23,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,727.9997970397945,24,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,2750.0777565002445,25,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,92482.14487668587,29,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,1.2857278381347659,30,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,472.14595278930597,32,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_16,3599.31719661255,33,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_17,72.05253218994153,39,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_18,423.11539229125947,41,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_19,131.85117853393663,46,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_20,33.07941473999026,47,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_21,2.2317151733398433,48,stable_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,1.5164091137989098E7,0,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,5167072.685677579,3,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,1.3426655966866648E7,4,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,33028.741641522094,5,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,11425.613492138715,9,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,459721.4799550969,11,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,1677640.3972760034,12,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,2722016.951584403,15,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,5154.919879315198,20,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9,501994.5045290653,21,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10,3364.2556109191523,23,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11,20986.128409722907,24,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_12,65692.57809362709,25,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_13,153608.40994628237,29,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_14,1273.5653297973595,30,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_15,4580.09397464603,32,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_16,87257.5379821289,33,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_17,20518.949502667263,39,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_18,396.7620426635765,41,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_19,1400.5206612853983,46,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_20,980.275987725828,47,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_21,73.4100364013671,48,stable_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
