system:index,area,class_id,file,territory,.geo
0_0,2.4692360220791426E7,1,stable_native_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,2628883.032058311,2,stable_native_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,3187559.6652200595,3,stable_native_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,1001276.7913430772,4,stable_native_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,1.0290786131731002E7,5,stable_native_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,6.5678130644760676E7,6,stable_native_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,4.419275641629119E7,7,stable_native_fundiario_col7,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,117979.97993930757,1,stable_native_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,34950.65848357547,2,stable_native_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,25099.432680133083,3,stable_native_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,14615.192834930405,4,stable_native_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,114450.44422135648,5,stable_native_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,2860549.268619151,6,stable_native_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,367091.28347420983,7,stable_native_fundiario_col7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,3494878.035894019,1,stable_native_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,814872.7205142633,2,stable_native_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,764364.2049586428,3,stable_native_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,349418.4872107851,4,stable_native_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,2982394.5379244788,5,stable_native_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,2.222444583831606E7,6,stable_native_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,8898561.061649807,7,stable_native_fundiario_col7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
