system:index,area,class_id,territory,year,.geo
0_0_0,51.39889921264649,0,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1.1064806939176926E7,3,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,3.387507805528493E7,4,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,64994.38494202868,5,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,26171.113738965516,9,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,2017932.0191508227,11,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,6534722.145338838,12,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,5209333.756923173,15,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,12698.801115789607,20,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,1937676.23621583,21,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,102577.42441073564,23,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,79902.58764854135,24,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,215463.3380496273,25,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,18263.325481793014,29,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,859.1165107666006,30,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,4.8218994445800805,31,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,8260.588681756624,32,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,330532.25808155636,33,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,1014754.1148521472,39,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,29632.253319733365,40,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,437671.9321950216,41,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,16700.081961804244,46,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,2465.0893371276898,48,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,119.8956025024414,62,1,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,53.18534588623045,0,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,1.103564745630008E7,3,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,3.361645614980586E7,4,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,64831.48061306732,5,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,26719.14036344655,9,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,2028780.8888621405,11,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,6481238.632242096,12,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,5385909.393267384,15,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,10200.95788313584,20,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,1912337.7549500845,21,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,103854.83799792569,23,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,81582.18235366233,24,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_12,218464.27012546302,25,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_13,18262.88160222148,29,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_14,901.8732911743173,30,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_15,25.53759312744142,31,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_16,8336.581856683375,32,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_17,321317.6035681394,33,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_18,1130796.048697314,39,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_19,20125.757550823917,40,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20,510673.9193057209,41,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_21,17142.619169207836,46,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_22,3470.4531046692196,48,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_23,3542.0729691894576,62,1,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,32.282375811767594,0,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,1.1014276615546193E7,3,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,3.3305114850880288E7,4,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,64628.305380449776,5,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_4,27245.41542190585,9,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_5,2026523.9618779072,11,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_6,6456002.282839773,12,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_7,5636859.830318513,15,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_8,6685.425622576857,20,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_9,1866972.672934367,21,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_10,105454.57516503744,23,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_11,84011.6105990358,24,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_12,230827.94066128993,25,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_13,18262.95778233623,29,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_14,931.9492758850122,30,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_15,23.394513427734378,31,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_16,8292.642447772225,32,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_17,377180.06170118455,33,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_18,1338831.869631346,39,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_19,6311.909641168194,40,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_20,390323.9924970709,41,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_21,17349.701681225564,46,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_22,3435.3942748779514,48,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_23,15092.035749060187,62,1,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_0,33.70973829345704,0,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_1,1.0974431560400274E7,3,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_2,3.3057206550154295E7,4,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_3,64812.71782268031,5,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_4,24930.834434088254,9,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_5,2017256.3302179517,11,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_6,6434616.537039416,12,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_7,5884754.751051815,15,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_8,6150.506976300191,20,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_9,1857334.6997465938,21,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_10,105928.24550928631,23,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_11,85768.3970807496,24,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_12,236127.75638818202,25,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_13,18260.782687011528,29,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_14,956.1820383850144,30,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_15,17.32268856201172,31,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_16,8203.426613409443,32,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_17,380695.7208616792,33,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_18,1394996.8989567575,39,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_19,6472.702201885938,40,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_20,409631.44855424226,41,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_21,14464.106479016113,46,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_22,3243.633321716325,48,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0_23,14376.857856146067,62,1,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_0,36.21065233764649,0,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_1,1.0907678152098788E7,3,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_2,3.262271459586986E7,4,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_3,65300.850631121546,5,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_4,21448.736018896478,9,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_5,2016940.460551504,11,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_6,6333046.74580803,12,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0_7,6127832.027570789,15,1,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
