system:index,area,class_id,file,territory,year,.geo
0_0_0,1.1359294069401005E7,3,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,3.5743459514984176E7,4,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,60978.457308544996,5,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,126.78891193847667,9,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,2088960.9932685539,11,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,7071839.532633214,12,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,2505485.508991062,15,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,3097723.885952278,21,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,97267.57450689717,23,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,45096.928195727436,24,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,283908.05352894816,25,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,18200.81709966433,29,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,122.01070213623058,30,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,684.7129222106985,31,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,7423.818218682909,32,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,373627.1328453255,33,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,57488.438019421454,39,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,7310.09365879497,40,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,126266.98541906473,41,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,52740.255328277584,46,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,2621.6137146850583,48,mapbiomas_collection70_integration_v2,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_0,1.1290993220524453E7,3,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_1,3.564122218972933E7,4,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_2,61778.98354486004,5,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_3,144.6281371643067,9,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_4,2072528.813669915,11,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_5,7045782.629250891,12,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_6,2535471.0080522695,15,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_7,3277342.3022969896,21,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_8,94629.80248035208,23,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_9,51857.90717883901,24,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_10,262300.9570425531,25,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_11,18205.350327771026,29,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_12,172.50597661743234,30,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_13,881.0722942016524,31,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_14,7504.749939910929,32,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_15,390771.3064157293,33,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_16,33129.66720347932,39,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_17,5651.212861834529,40,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_18,150763.5512211971,41,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_19,56827.33623948334,46,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0_20,2667.183340118407,48,mapbiomas_collection70_integration_v2,1,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_0,1.1330899984556966E7,3,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_1,3.5614115265964165E7,4,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_2,61701.1060209953,5,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_3,133.5935397705079,9,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_4,2044596.142957973,11,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_5,7041183.589828375,12,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_6,2685307.91713213,15,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_7,3074844.8688917994,21,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_8,94518.40673858068,23,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_9,54662.87497064202,24,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_10,258779.6137116728,25,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_11,18207.70188758547,29,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_12,239.90270010986333,30,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_13,966.0811330932557,31,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_14,7495.818022949261,32,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_15,386653.4120253174,33,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_16,71698.15795504658,39,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_17,5501.857863427505,40,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_18,199027.07531602055,41,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0_19,47684.22531168175,46,mapbiomas_collection70_integration_v2,1,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
