system:index,area,class_id,file,territory,.geo
0_0,279673.5564613418,3,fromNAT_toPASTURE_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,1609687.1840195162,4,fromNAT_toPASTURE_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,18458.927301116953,11,fromNAT_toPASTURE_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,100760.47879550772,12,fromNAT_toPASTURE_2010_2021,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,13.990538031005858,3,fromNAT_toPASTURE_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,31.712314520263682,4,fromNAT_toPASTURE_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,1.5112206420898437,11,fromNAT_toPASTURE_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,3.0399091003417973,12,fromNAT_toPASTURE_2010_2021,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,12.300488244628907,3,fromNAT_toPASTURE_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,32.94576971435547,4,fromNAT_toPASTURE_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,1.6878754577636719,11,fromNAT_toPASTURE_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,3.226752117919922,12,fromNAT_toPASTURE_2010_2021,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,260767.15849035035,3,fromNAT_toPASTURE_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_1,2106088.346296464,4,fromNAT_toPASTURE_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_2,147973.5140837102,11,fromNAT_toPASTURE_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_3,313673.12083467434,12,fromNAT_toPASTURE_2010_2021,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
