system:index,area,class_id,territory,year,.geo
0_0_0,39361.23861710058,3,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,23595.79070370516,4,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,613.7500251992648,5,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,382.9859729561143,11,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,1973.2060842759304,12,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,269.6875729899904,15,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,1.712207530029293,20,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,2237.6764793390307,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,973.6577577209023,23,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,205.74965075518392,24,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,285.98729383715835,25,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,6.994465382446231,31,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,74.53690465008502,32,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,1045.2032690649264,33,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,0.006247907287597655,41,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,25889.969701235896,3,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,28033.105271037944,4,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,257.97737832879574,11,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,2490.792358457958,12,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1567.9745971032328,15,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,4477.709815957794,21,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,111.21632225311305,24,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,305.27976565929873,25,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_8,0.00355121630859375,29,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_9,130.46696380328365,33,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,19099.35129781532,3,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,14877.672087511852,4,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,59.66536146173098,11,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,4043.957947223338,12,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,895.9805875302029,15,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,3885.781707902863,21,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,23.79175596069332,24,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,123.3296611477055,25,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_8,19.485674400817864,33,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1876.9202767688785,3,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,20670.396448140877,4,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,37.867334996093774,11,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,2816.599367243709,12,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,58.03540934942673,15,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,532.9473604945168,21,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,39.987940346680055,24,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,54.167431513427594,25,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_8,46.5208253256833,33,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,6741.75540611192,3,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,85373.03463419361,4,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,557.0585561171279,11,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,19491.172497562326,12,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,150.76549833142093,15,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,2772.124191300047,21,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,54.04129773577904,24,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,315.4530189680865,25,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,0.004411111389160156,29,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_9,439.530230890684,33,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_10,0.16674377880859348,41,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,12258.660493835787,3,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,20014.19658033661,4,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,36.76946938891599,11,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,3756.364699776408,12,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,3604.2148763536043,15,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,2071.4891474636324,21,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,119.45562504369998,24,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,126.50375882537834,25,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_8,300.6280038383154,33,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_9,8.873278198242187E-4,41,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,1446.5829743874106,3,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,14911.208860643394,4,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,574.0262793572357,11,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,14833.768880311267,12,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,138.47725216583223,15,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,946.585466987432,21,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,3.049063148864727,23,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,7.574639903625496,24,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_8,380.44490915942583,25,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_9,23.703531034790036,33,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_10,0.02107530676269532,39,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_11,47.90287894232201,41,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_12,40.0863927415771,46,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,12463.419888726734,3,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,61846.29560979741,4,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,492.99112719519155,11,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,3633.356819919425,12,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,14102.321966913614,15,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,8857.521610842889,21,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,114.88462164984121,24,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,336.74311116381824,25,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_8,2.659906850708003,30,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_9,537.4047688853137,33,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_10,1.5675643731689426,41,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,1898.8300775830444,3,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,14741.652635504232,4,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,105.29543398779246,11,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,2965.458128552501,12,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,5828.071630455942,15,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,2597.6343756135807,21,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,18.07179651397708,24,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_7,211.39566054674907,25,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_8,0.39338718835449205,30,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_9,67.03936138586423,33,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_10,7.4763068645019395,39,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_11,8.297086685302737,41,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_12,125.75146138506076,46,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,5456.615189878999,3,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,59154.43053358611,4,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,0.9293025136108388,9,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,1659.5551892551907,11,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,38647.971852745184,12,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,3378.5865241811744,15,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,3936.0575143939573,21,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,23.248747468261758,24,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_8,168.35529681530733,25,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_9,0.0017399544677734375,29,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_10,89.4633607966316,33,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_11,89.06145066259752,39,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_12,1717.6376782536638,41,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_13,239.40443601971427,46,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_14,14.480139037292421,48,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,905.5999488564311,3,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,16528.773635272697,4,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_2,232.21617493371383,11,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_3,1730.6812369426984,12,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_4,742.6789410476099,15,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_5,399.06227173022455,21,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_6,16.745836661621073,24,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_7,41.302695100952164,25,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_8,0.0035029329223632815,29,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_9,40.58208991046132,33,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_10,47.70968583825709,41,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_11,258.1628215805071,46,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_12,21.05846682122817,48,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,939.3951899569109,3,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,6591.384150883536,4,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,15.527889766113237,9,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_3,30.67430525024424,11,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_4,145.24161699633743,12,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_5,2390.427529028902,15,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_6,1865.661237331218,21,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_7,43.39393645245346,24,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_8,11.525341454956065,25,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_9,0.09363402453613284,29,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_10,1.04503848718262,30,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_11,64.86421755731169,33,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_12,2.899329971313476,46,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_13,0.6501484054565424,48,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,8418.464450156975,3,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,16475.37298651126,4,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_2,159.013888252686,11,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_3,3051.9115929990776,12,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_4,12595.580100272737,15,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_5,3.5612109837646404,20,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_6,5075.531799628079,21,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_7,68.77883855493164,24,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_8,316.9840316480093,25,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_9,1.7197177471923828,30,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_10,190.57429787243652,33,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_11,0.9009894508056653,39,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_12,36.28588108453334,41,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_13,10.939884124999997,46,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,8701.084864906827,3,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_1,30649.606688315223,4,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_2,550.0336209158215,9,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_3,977.6450258147654,11,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_4,11369.754092559242,12,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_5,21411.030498781365,15,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_6,12418.663084947384,21,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_7,115.34498152142349,24,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_8,412.17982731695315,25,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_9,1.2490615176391613,30,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_10,227.8516168977658,33,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_11,605.8790621422116,39,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_12,661.0365522210113,41,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_13,550.9033167158798,46,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_14,4.287421995300294,48,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,9903.491258381551,3,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_1,27091.601003747186,4,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_2,1323.737412968945,9,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_3,148.59964950500523,11,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_4,6261.247728114134,12,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_5,5996.258173136812,15,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_6,3332.0058516694476,21,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_7,39.00385430725108,24,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_8,392.5745671308591,25,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_9,0.2639636500244141,29,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_10,87.18395022479267,33,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_11,30.726782835144032,46,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_12,1.4179889017334009,48,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,4079.335594246436,3,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1,1226.4306106429947,4,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_2,1563.0141655988034,9,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_3,921.811585769352,11,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_4,870.6408706237688,12,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_5,15109.998361360964,15,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_6,841.0137752972871,20,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_7,4193.763364815887,21,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_8,192.56455416686995,24,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_9,139.81235383032208,25,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_10,567.3260636683306,33,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_11,113.17642309015096,39,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_12,1354.9673662785217,41,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_13,60.69228715057375,46,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_14,42.22632744775405,47,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_15,2.111492020141605,48,16,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,10492.241321185233,3,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,10503.581304830406,4,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_2,537.6265962424243,9,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_3,787.5790750178137,11,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_4,4651.9137089296755,12,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_5,33938.898501805576,15,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_6,7.802316616943343,20,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_7,11032.817928872939,21,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_8,557.7961324863335,24,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_9,66.87823846020504,25,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_10,5.083348312683124,30,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_11,2079.16015936209,33,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_12,0.1672800046386718,39,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_13,45.79262965173306,41,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_14,203.77492380108743,46,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_15,1.5130774746704136,48,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,2152.171079625567,3,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1,2288.0372858867054,4,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_2,35.24442473052917,9,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_3,806.0075390622555,11,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_4,188.00828507501262,12,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_5,19677.462039137423,15,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_6,7.966199545532206,20,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_7,3426.080675094343,21,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_8,44.39292710211095,24,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_9,50.197543567199745,25,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_10,33.59870164703373,33,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
