year;forest;savanna;grassland;pasture;temp crop;permanent crop;forestry;mosaic of;urban;water
1985,00;-0,39;-0,11;-0,04;-0,02;0,00;-0,01;0,33;-0,11;0,00;0,00
1986,00;-0,40;-0,13;-0,04;-0,02;0,00;-0,01;0,32;-0,09;0,00;0,00
1987,00;-0,35;-0,16;-0,04;-0,03;0,00;0,00;0,32;-0,09;0,00;0,00
1988,00;-0,29;-0,15;-0,03;-0,03;-0,01;0,00;0,40;-0,08;0,00;0,00
1989,00;-0,30;-0,19;-0,03;-0,02;0,00;0,00;0,40;-0,06;0,00;0,00
1990,00;-0,26;-0,18;-0,03;0,00;0,00;0,00;0,46;-0,07;0,00;0,00
1991,00;-0,22;-0,14;-0,02;0,00;0,00;0,00;0,56;-0,05;0,00;0,00
1992,00;-0,21;-0,12;-0,02;-0,01;0,00;0,00;0,60;-0,05;0,00;0,00
1993,00;-0,19;-0,10;-0,02;-0,01;0,00;0,00;0,64;-0,04;0,00;0,00
1994,00;-0,13;-0,10;-0,02;-0,01;0,00;0,00;0,70;-0,03;0,00;0,00
1995,00;-0,11;-0,11;-0,02;-0,01;0,00;0,00;0,70;-0,04;0,00;0,00
1996,00;-0,13;-0,10;-0,02;-0,01;0,00;0,00;0,72;-0,02;0,00;0,00
1997,00;-0,10;-0,09;-0,02;-0,01;0,00;0,00;0,75;-0,03;0,00;0,00
1998,00;-0,11;-0,09;-0,02;-0,01;0,00;0,00;0,74;-0,04;0,00;0,00
1999,00;-0,13;-0,09;-0,02;-0,01;-0,01;0,00;0,71;-0,02;0,00;0,00
2000,00;-0,13;-0,08;-0,02;-0,01;-0,01;0,00;0,73;-0,03;0,00;0,00
2001,00;-0,10;-0,08;-0,02;-0,02;-0,01;0,00;0,74;-0,02;0,00;0,00
2002,00;-0,09;-0,08;-0,02;-0,02;0,00;0,00;0,76;-0,03;0,00;0,00
2003,00;-0,08;-0,07;-0,02;-0,02;0,00;0,00;0,74;-0,06;0,00;0,00
2004,00;-0,07;-0,08;-0,02;-0,01;0,00;0,00;0,74;-0,07;0,00;0,00
2005,00;-0,09;-0,06;-0,02;-0,01;-0,01;0,00;0,75;-0,05;0,00;0,00
2006,00;-0,10;-0,05;-0,01;-0,03;-0,01;0,00;0,73;-0,05;0,00;0,00
2007,00;-0,12;-0,06;-0,01;-0,02;-0,02;0,00;0,71;-0,05;0,00;0,00
2008,00;-0,11;-0,07;-0,01;-0,02;-0,02;-0,01;0,70;-0,06;0,00;0,00
2009,00;-0,10;-0,06;-0,02;-0,02;-0,01;-0,01;0,72;-0,06;0,00;0,00
2010,00;-0,10;-0,06;-0,02;-0,02;0,00;0,00;0,73;-0,07;0,00;0,00
2011,00;-0,10;-0,07;-0,02;-0,03;-0,01;-0,01;0,69;-0,08;0,00;0,00
2012,00;-0,10;-0,07;-0,02;-0,03;0,00;-0,01;0,69;-0,08;0,00;0,00
2013,00;-0,11;-0,06;-0,02;-0,02;-0,01;-0,01;0,72;-0,06;0,00;0,00
2014,00;-0,10;-0,07;-0,02;-0,02;0,00;-0,01;0,73;-0,06;0,00;0,00
2015,00;-0,09;-0,07;-0,02;-0,02;0,00;0,00;0,72;-0,07;0,00;0,00
2016,00;-0,09;-0,06;-0,01;-0,02;-0,01;-0,01;0,73;-0,08;0,00;0,00
2017,00;-0,08;-0,07;-0,02;-0,01;0,00;0,00;0,72;-0,09;0,00;0,00
2018,00;-0,07;-0,06;-0,02;-0,01;0,00;0,00;0,74;-0,10;0,00;0,00
