year;forest;savanna;grassland;pasture;temp crop;permanent crop;forestry;mosaic of;urban;water
1985,00;-0,46;-0,36;0,00;-0,05;0,00;0,00;-0,13;0,00;0,00;0,00
1986,00;-0,46;-0,36;0,00;-0,05;0,00;0,00;-0,13;0,00;0,00;0,00
1987,00;-0,53;-0,40;0,00;-0,07;0,00;0,00;0,00;0,00;0,00;0,00
1988,00;-0,50;-0,23;0,00;-0,09;0,00;0,06;-0,12;0,00;0,00;0,00
1989,00;-0,46;-0,22;0,00;-0,09;0,00;0,11;-0,12;0,00;0,00;0,00
1990,00;-0,42;-0,26;0,00;0,00;-0,10;0,10;-0,11;0,00;0,00;0,00
1991,00;-0,40;-0,15;0,00;0,00;-0,26;0,10;-0,10;0,00;0,00;0,00
1992,00;-0,32;-0,18;0,00;0,00;-0,25;0,12;-0,12;0,00;0,00;0,00
1993,00;-0,40;-0,14;0,00;0,00;-0,31;0,15;0,00;0,00;0,00;0,00
1994,00;-0,42;-0,10;0,00;0,00;-0,22;0,26;0,00;0,00;0,00;0,00
1995,00;-0,36;-0,13;0,00;0,00;-0,15;0,36;0,00;0,00;0,00;0,00
1996,00;-0,36;-0,13;0,00;0,00;-0,15;0,36;0,00;0,00;0,00;0,00
1997,00;0,00;-0,19;0,00;0,00;0,00;0,81;0,00;0,00;0,00;0,00
1998,00;-0,21;-0,13;0,00;0,00;0,00;0,67;0,00;0,00;0,00;0,00
1999,00;-0,14;-0,08;0,00;0,00;-0,09;0,69;0,00;0,00;0,00;0,00
2000,00;-0,16;-0,06;0,00;-0,06;-0,16;0,57;0,00;0,00;0,00;0,00
2001,00;-0,16;-0,06;0,00;-0,06;-0,16;0,52;-0,04;0,00;0,00;0,00
2002,00;-0,18;-0,09;0,00;-0,07;-0,07;0,54;-0,04;0,00;0,00;0,00
2003,00;-0,18;-0,09;0,00;-0,07;-0,11;0,51;-0,04;0,00;0,00;0,00
2004,00;-0,15;-0,13;0,00;-0,15;-0,09;0,45;-0,04;0,00;0,00;0,00
2005,00;-0,20;-0,19;0,00;-0,12;-0,09;0,37;-0,04;0,00;0,00;0,00
2006,00;-0,19;-0,19;0,00;-0,06;-0,09;0,44;-0,04;0,00;0,00;0,00
2007,00;-0,07;-0,21;0,00;-0,06;-0,10;0,52;-0,04;0,00;0,00;0,00
2008,00;-0,05;-0,16;0,00;-0,11;-0,16;0,43;-0,08;0,00;0,00;0,00
2009,00;-0,05;-0,16;0,00;-0,07;-0,16;0,48;-0,08;0,00;0,00;0,00
2010,00;-0,05;-0,13;0,00;-0,06;-0,14;0,56;-0,07;0,00;0,00;0,00
2011,00;-0,04;-0,12;0,00;-0,02;-0,06;0,64;-0,10;0,00;0,00;0,00
2012,00;-0,10;-0,08;0,00;-0,02;-0,06;0,64;-0,10;0,00;0,00;0,00
2013,00;-0,05;-0,03;0,00;-0,07;-0,05;0,68;-0,12;0,00;0,00;0,00
2014,00;-0,05;-0,03;0,00;-0,05;-0,06;0,69;-0,12;0,00;0,00;0,00
2015,00;-0,07;-0,05;0,00;-0,03;-0,05;0,75;-0,05;0,00;0,00;0,00
2016,00;-0,08;-0,07;0,00;-0,03;-0,07;0,67;-0,08;0,00;0,00;0,00
2017,00;-0,09;-0,05;0,00;-0,07;-0,10;0,65;-0,04;0,00;0,00;0,00
2018,00;-0,10;-0,06;0,00;-0,07;-0,10;0,65;-0,03;0,00;0,00;0,00
