year;forest;savanna;grassland;pasture;temp crop;permanent crop;forestry;mosaic of;urban;water
1985,00;-0,26;-0,24;-0,07;-0,16;-0,26;0,00;0,00;0,00;0,00;0,00
1986,00;-0,28;-0,26;0,00;-0,18;-0,28;0,00;0,00;0,00;0,00;0,00
1987,00;-0,32;-0,29;0,00;-0,15;-0,24;0,00;0,00;0,00;0,00;0,00
1988,00;-0,24;-0,36;0,00;-0,15;-0,17;0,07;0,00;0,00;0,00;0,00
1989,00;-0,24;-0,29;0,00;-0,08;-0,24;0,15;0,00;0,00;0,00;0,00
1990,00;-0,11;-0,25;0,00;-0,37;-0,16;0,10;0,00;0,00;0,00;0,00
1991,00;-0,25;-0,22;0,00;-0,40;-0,04;0,09;0,00;0,00;0,00;0,00
1992,00;-0,26;-0,18;0,00;-0,47;0,00;0,09;0,00;0,00;0,00;0,00
1993,00;-0,15;-0,21;0,00;-0,47;0,00;0,08;-0,10;0,00;0,00;0,00
1994,00;-0,18;-0,25;0,00;-0,35;0,00;0,16;-0,07;0,00;0,00;0,00
1995,00;-0,24;-0,22;0,00;-0,25;-0,03;0,18;-0,08;0,00;0,00;0,00
1996,00;-0,32;-0,20;0,00;-0,23;0,00;0,17;-0,08;0,00;0,00;0,00
1997,00;-0,27;-0,23;0,00;-0,14;-0,03;0,23;-0,10;0,00;0,00;0,00
1998,00;-0,29;-0,13;0,00;-0,21;-0,03;0,26;-0,09;0,00;0,00;0,00
1999,00;-0,15;-0,22;0,00;-0,11;-0,03;0,41;-0,09;0,00;0,00;0,00
2000,00;-0,13;-0,21;0,00;-0,09;-0,05;0,44;-0,08;0,00;0,00;0,00
2001,00;-0,08;-0,26;0,00;-0,20;-0,02;0,37;-0,07;0,00;0,00;0,00
2002,00;-0,10;-0,24;-0,02;-0,24;0,00;0,35;-0,05;0,00;0,00;0,00
2003,00;-0,12;-0,28;-0,02;-0,21;0,00;0,32;-0,05;0,00;0,00;0,00
2004,00;-0,16;-0,32;0,00;-0,11;0,00;0,36;-0,05;0,00;0,00;0,00
2005,00;-0,20;-0,30;-0,02;-0,10;0,00;0,32;-0,06;0,00;0,00;0,00
2006,00;-0,17;-0,28;0,00;-0,15;0,00;0,34;-0,05;0,00;0,00;0,00
2007,00;-0,16;-0,25;-0,02;-0,11;-0,02;0,39;-0,05;0,00;0,00;0,00
2008,00;-0,08;-0,25;-0,02;-0,21;-0,02;0,38;-0,05;0,00;0,00;0,00
2009,00;-0,07;-0,21;-0,02;-0,22;-0,07;0,36;-0,04;0,00;0,00;0,00
2010,00;-0,07;-0,20;-0,01;-0,18;-0,06;0,40;-0,08;0,00;0,00;0,00
2011,00;-0,10;-0,14;-0,01;-0,18;-0,04;0,46;-0,07;0,00;0,00;0,00
2012,00;-0,11;-0,14;-0,01;-0,20;-0,01;0,45;-0,07;0,00;0,00;0,00
2013,00;-0,08;-0,15;-0,01;-0,17;-0,01;0,52;-0,06;0,00;0,00;0,00
2014,00;-0,08;-0,13;-0,02;-0,14;-0,01;0,54;-0,07;0,00;0,00;0,00
2015,00;-0,08;-0,08;-0,02;-0,14;-0,02;0,55;-0,11;0,00;0,00;0,00
2016,00;-0,05;-0,08;-0,01;-0,13;-0,03;0,59;-0,10;0,00;0,00;0,00
2017,00;-0,05;-0,09;-0,02;-0,09;-0,03;0,61;-0,10;0,00;0,00;0,00
2018,00;-0,06;-0,09;-0,01;-0,09;-0,04;0,60;-0,11;0,00;0,00;0,00
