"Ano","Acurácia","Discordância de Área","Discordância de Alocação","X", "Y"
1985,0,801385504614088,-0,0244570920799148,-0,174157403306003
1986,0,806066090120093,-0,0226217488142187,-0,171312161065694
1987,0,810064618841076,-0,0282751003003834,-0,161660280858548
1988,0,810858543751482,-0,036680092563688,-0,152461363684835
1989,0,811841523256071,-0,0444020720328293,-0,143756404711105
1990,0,812651396358991,-0,0477779576194978,-0,139570646021517
1991,0,816997635261568,-0,0484780986170079,-0,134524266121429
1992,0,81905059655689,-0,0500569060526591,-0,130892497390454
1993,0,821654210334696,-0,050659540253434,-0,127686249411873
1994,0,822635538904414,-0,0524470202399319,-0,124917440855657
1995,0,824744138226046,-0,0531652938680495,-0,122090567905907
1996,0,826839733514255,-0,0539034477744988,-0,119256818711248
1997,0,830047570543982,-0,0518998606606082,-0,118052568795411
1998,0,831320576461056,-0,0537327685828651,-0,114946654956081
1999,0,832758995137285,-0,054947917675429,-0,112293087187288
2000,0,833046461027515,-0,0561176388694644,-0,110835900103022
2001,0,834435974453785,-0,0567708592062103,-0,108793166340006
2002,0,836345398605718,-0,0553735369443541,-0,108281064449927
2003,0,835829815909942,-0,0583296355503653,-0,105840548539692
2004,0,837440407912018,-0,0558131998730031,-0,106746392214978
2005,0,838798074696326,-0,0568181420840768,-0,104383783219595
2006,0,838571338188096,-0,0571212497388625,-0,104307412073039
2007,0,83917470195551,-0,0589379085401261,-0,101887389504362
2008,0,838701924440448,-0,060174816051422,-0,101123259508128
2009,0,838429811292734,-0,0606781247215759,-0,100892063985689
2010,0,839901111131683,-0,0595393646597613,-0,100559524208554
2011,0,840731250835393,-0,0597536269666708,-0,0995151221979352
2012,0,841349810735778,-0,0589571927605879,-0,0996929965036336
2013,0,84125198075779,-0,0609503342651994,-0,0977976849770095
2014,0,842495130211871,-0,0610648956179369,-0,0964399741701896
2015,0,841718563143771,-0,0618875801594078,-0,0963938566968201
2016,0,84139099995174,-0,0619713259686213,-0,0966376740796372
2017,0,839925771931489,-0,0624945735188298,-0,0975796545496796
2018,0,838994849170011,-0,0638729792812121,-0,0971321715487746
