system:index,area,class_id,territory,year,.geo
0_0_0,2076.764910797028,211,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,103.78501662347469,213,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,87.53208128393572,214,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,1450.1046577694817,219,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,6288.160922263059,1213,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,3473.0756967949737,1214,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,13.969305269836433,2234,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,11600.498328857451,13134,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,3214.705794402604,211,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,82.26211952642811,213,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,700.4377255379063,214,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,441.31268782428106,219,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,2612.7487445413767,1213,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,4806.749488692203,1214,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,19.94893332934571,2234,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,4187.551245130543,13134,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1779.2015767662429,211,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,152.00902586578215,213,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,982.225276095033,214,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,51.46077803210562,219,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,689.3225240715756,1213,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,4167.249003592628,1214,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,62.53771994024655,2234,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,5456.02508985718,13134,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,14.310776551757781,211,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,2.015758470153808,213,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,16.86989802691651,214,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,1.3581322714843729,219,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,27.441381212707437,1213,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,55.28288081457508,1214,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,0.5152106443481445,2234,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,347.7651980236266,13134,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,19.76636505029296,211,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,0.8682675514526366,212,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,13.250201060607889,213,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,74.9405147142945,214,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,0.06285513568115236,219,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,0.38502648382568355,1212,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,38.60624952185061,1213,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,29.391613709350594,1214,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,0.36472348504638674,2223,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_9,0.9364295634155273,2224,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_10,7.711397427185058,2234,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_11,7.096688984069826,13123,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_12,8.000300501342778,13124,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_13,2184.802475715277,13134,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_14,1.4983331930541994,23234,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_15,623.6667527587247,141234,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,371.5580224669732,211,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,108.17332326654052,212,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,177.32699767291382,213,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,546.6171070269746,214,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,10.47294596093751,219,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,70.54312492517087,1212,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,203.30806778051647,1213,6,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
