system:index,area,class_id,territory,year,.geo
0_0_0,4240.862979632551,211,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,2362.3494271353575,213,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,252.65532492370434,214,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,2903.944679818574,219,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,26889.951195633315,1213,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,4988.109515213689,1214,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,212.01683908465515,2234,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,25795.50535462749,13134,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,5850.6355267771005,211,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,1329.915410864485,213,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,1279.126072813755,214,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,2950.418363623972,219,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,25035.09715745064,1213,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,7489.188873766769,1214,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,337.2135580875295,2234,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,12088.212100356346,13134,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,3317.984264167256,211,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,533.0989056413558,213,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,1717.1942105149133,214,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,56.55553375134335,219,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,1749.4718999071636,1213,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,6621.852283098208,1214,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,435.14393875788227,2234,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,20863.34797067658,13134,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1366.9084569287154,211,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,271.3888523402664,213,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,76.4932249856569,214,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
