system:index,area,class_id,territory,year,.geo
0_0_0,2164.0980688355326,211,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,2258.564410511883,213,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,165.12324363977044,214,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,1453.8400220491783,219,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,13342.283196395843,1213,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,584.693868677797,1214,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,118.77264753625491,2234,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,4261.237547214421,13134,1,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2635.9297323744754,211,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,1247.6532913380602,213,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,578.6883472758243,214,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,2509.105675799698,219,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,18999.81915911937,1213,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,1043.6989877080578,1214,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,248.44720231109937,2234,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,2994.3799539525585,13134,2,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1538.7826874009877,211,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,381.089879775573,213,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,734.9689344198684,214,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,5.094755719238276,219,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,699.9142335592617,1213,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,811.8330567140512,1214,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,205.56612740448284,2234,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,8269.665591267243,13134,3,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1352.5976803769593,211,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,269.37309387011237,213,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,59.62332695874041,214,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,41.612275912780426,219,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,2827.3611635127895,1213,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,872.2802910481693,1214,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,102.40024178405658,2234,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,10891.50115556811,13134,4,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,4989.565567673013,211,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,14.318957655944809,212,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,791.9826660708603,213,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,483.2371521701693,214,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,77.16361818749962,219,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,49.303195706421036,1212,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,9635.061998645631,1213,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,3576.6744112943816,1214,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_8,8.378809913635239,2223,5,constant,"{""type"":""MultiPoint"",""coordinates"":[]}"
